agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,seconds
enders_1000,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,20.7
enders_1000,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,33.0
enders_1000,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,21.6
ow_proto,reinforce_958,20001,1,a,1,-1,DONE,DONE,38.8
ow_proto,reinforce_958,20000,0,a,1,-1,DONE,DONE,52.0
shot_validator_hybrid,reinforce_958,20000,0,a,1,-1,DONE,DONE,436.8
shot_validator_hybrid,reinforce_958,20001,1,b,-1,1,DONE,DONE,348.4
ow_proto,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,52.5
ow_proto,exit_v2_exit_embed256_last,20000,0,a,1,-1,DONE,DONE,66.1
ow_proto,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,114.8
shot_validator_hybrid,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,445.0
enders_1000,apex,20001,1,a,1,-1,DONE,DONE,362.0
ow_proto,apex,20000,0,a,1,-1,DONE,DONE,249.8
enders_1000,apex,20000,0,b,-1,1,DONE,DONE,392.5
shot_validator_hybrid,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,475.1
reinforce_958,apex,20000,0,a,1,-1,DONE,DONE,121.2
reinforce_958,exit_v2_exit_a100_000020,20001,1,b,-1,1,DONE,DONE,47.3
reinforce_958,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,89.5
shot_validator_hybrid,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,535.2
ow_proto,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,199.6
reinforce_958,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,97.4
apex,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,90.5
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,31.1
reinforce_958,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,192.2
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,114.8
ow_proto,apex,20001,1,a,1,-1,DONE,DONE,492.5
reinforce_958,apex,20001,1,b,-1,1,DONE,DONE,327.0
apex,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,229.5
shot_validator_hybrid,apex,20001,1,a,1,-1,DONE,DONE,855.7
apex,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,296.4
apex,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,316.4
