agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,seconds
reinforce_958,exit_v2_exit_embed256_last,20001,1,a,1,-1,DONE,DONE,97.4
apex,exit_v2_exit_a100_000020,20000,0,a,1,-1,DONE,DONE,90.5
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,31.1
reinforce_958,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,192.2
exit_v2_exit_a100_000020,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,114.8
ow_proto,apex,20001,1,a,1,-1,DONE,DONE,492.5
reinforce_958,apex,20001,1,b,-1,1,DONE,DONE,327.0
apex,exit_v2_exit_a100_000020,20001,1,a,1,-1,DONE,DONE,229.5
shot_validator_hybrid,apex,20001,1,a,1,-1,DONE,DONE,855.7
apex,exit_v2_exit_embed256_last,20001,1,b,-1,1,DONE,DONE,296.4
apex,exit_v2_exit_embed256_last,20000,0,b,-1,1,DONE,DONE,316.4
producer,ow_proto,20005,1,a,1,-1,DONE,DONE,5.2
producer,ow_proto,20002,0,a,1,-1,DONE,DONE,7.3
producer,ow_proto,20003,1,a,1,-1,DONE,DONE,7.5
producer,ow_proto,20004,0,a,1,-1,DONE,DONE,8.2
producer,ow_proto,20006,0,a,1,-1,DONE,DONE,7.8
producer,ow_proto,20009,1,a,1,-1,DONE,DONE,5.8
producer,ow_proto,20008,0,a,1,-1,DONE,DONE,7.0
producer,ow_proto,20007,1,a,1,-1,DONE,DONE,9.0
producer,ow_proto,20011,1,a,1,-1,DONE,DONE,9.3
producer,ow_proto,20013,1,a,1,-1,DONE,DONE,7.6
producer,ow_proto,20012,0,a,1,-1,DONE,DONE,10.0
producer,ow_proto,20010,0,a,1,-1,DONE,DONE,11.8
producer,ow_proto,20014,0,a,1,-1,DONE,DONE,8.9
producer,ow_proto,20015,1,a,1,-1,DONE,DONE,9.0
producer,ow_proto,20017,1,a,1,-1,DONE,DONE,10.0
producer,ow_proto,20016,0,a,1,-1,DONE,DONE,11.0
producer,ow_proto,20018,0,a,1,-1,DONE,DONE,8.9
producer,ow_proto,20019,1,a,1,-1,DONE,DONE,9.8
producer,ow_proto,20020,0,a,1,-1,DONE,DONE,9.5
producer,ow_proto,20021,1,a,1,-1,DONE,DONE,12.7
producer,ow_proto,20023,1,a,1,-1,DONE,DONE,5.6
producer,ow_proto,20022,0,a,1,-1,DONE,DONE,7.4
producer,ow_proto,20025,1,a,1,-1,DONE,DONE,7.8
producer,ow_proto,20026,0,a,1,-1,DONE,DONE,8.7
producer,ow_proto,20027,1,a,1,-1,DONE,DONE,8.9
producer,ow_proto,20024,0,a,1,-1,DONE,DONE,12.9
producer,ow_proto,20028,0,a,1,-1,DONE,DONE,7.9
producer,enders_1000,20003,1,a,1,-1,DONE,DONE,6.3
producer,enders_1000,20002,0,a,1,-1,DONE,DONE,7.9
producer,ow_proto,20029,1,a,1,-1,DONE,DONE,10.1
producer,enders_1000,20005,1,a,1,-1,DONE,DONE,5.3
producer,enders_1000,20004,0,a,1,-1,DONE,DONE,8.5
producer,enders_1000,20007,1,a,1,-1,DONE,DONE,5.6
producer,enders_1000,20006,0,a,1,-1,DONE,DONE,9.2
producer,enders_1000,20008,0,a,1,-1,DONE,DONE,6.9
producer,enders_1000,20009,1,a,1,-1,DONE,DONE,9.1
producer,enders_1000,20010,0,a,1,-1,DONE,DONE,12.4
producer,enders_1000,20011,1,a,1,-1,DONE,DONE,11.6
producer,enders_1000,20012,0,a,1,-1,DONE,DONE,11.4
producer,enders_1000,20013,1,a,1,-1,DONE,DONE,8.2
producer,enders_1000,20014,0,a,1,-1,DONE,DONE,9.0
producer,enders_1000,20015,1,a,1,-1,DONE,DONE,8.6
producer,enders_1000,20016,0,a,1,-1,DONE,DONE,9.3
producer,enders_1000,20017,1,a,1,-1,DONE,DONE,10.3
producer,enders_1000,20018,0,a,1,-1,DONE,DONE,10.3
producer,enders_1000,20019,1,a,1,-1,DONE,DONE,9.9
producer,enders_1000,20020,0,a,1,-1,DONE,DONE,9.3
producer,enders_1000,20021,1,a,1,-1,DONE,DONE,9.0
producer,enders_1000,20022,0,a,1,-1,DONE,DONE,9.0
producer,enders_1000,20023,1,a,1,-1,DONE,DONE,11.0
producer,enders_1000,20024,0,a,1,-1,DONE,DONE,10.6
producer,enders_1000,20025,1,a,1,-1,DONE,DONE,9.3
producer,enders_1000,20026,0,a,1,-1,DONE,DONE,8.4
producer,enders_1000,20027,1,a,1,-1,DONE,DONE,12.2
producer,enders_1000,20029,1,a,1,-1,DONE,DONE,9.8
producer,enders_1000,20028,0,a,1,-1,DONE,DONE,14.0
producer,tamrazov_1224,20002,0,a,1,-1,DONE,DONE,29.4
producer,tamrazov_1224,20003,1,a,1,-1,DONE,DONE,32.3
producer,tamrazov_1224,20004,0,b,-1,1,DONE,DONE,43.4
producer,tamrazov_1224,20005,1,a,1,-1,DONE,DONE,58.7
producer,tamrazov_1224,20007,1,a,1,-1,DONE,DONE,41.8
producer,tamrazov_1224,20008,0,a,1,-1,DONE,DONE,38.0
producer,tamrazov_1224,20006,0,a,1,-1,DONE,DONE,70.5
producer,tamrazov_1224,20009,1,a,1,-1,DONE,DONE,36.6
producer,tamrazov_1224,20011,1,a,1,-1,DONE,DONE,21.5
producer,tamrazov_1224,20010,0,a,1,-1,DONE,DONE,40.4
producer,tamrazov_1224,20013,1,a,1,-1,DONE,DONE,35.2
producer,tamrazov_1224,20012,0,a,1,-1,DONE,DONE,41.2
producer,tamrazov_1224,20014,0,a,1,-1,DONE,DONE,33.3
producer,tamrazov_1224,20015,1,a,1,-1,DONE,DONE,40.9
producer,tamrazov_1224,20017,1,a,1,-1,DONE,DONE,43.7
producer,tamrazov_1224,20016,0,a,1,-1,DONE,DONE,49.4
producer,tamrazov_1224,20018,0,a,1,-1,DONE,DONE,57.7
producer,tamrazov_1224,20019,1,a,1,-1,DONE,DONE,40.7
producer,tamrazov_1224,20020,0,a,1,-1,DONE,DONE,30.2
producer,tamrazov_1224,20023,1,a,1,-1,DONE,DONE,30.4
producer,tamrazov_1224,20021,1,a,1,-1,DONE,DONE,49.4
producer,tamrazov_1224,20022,0,a,1,-1,DONE,DONE,42.2
producer,tamrazov_1224,20024,0,a,1,-1,DONE,DONE,41.2
producer,tamrazov_1224,20025,1,a,1,-1,DONE,DONE,45.3
producer,tamrazov_1224,20027,1,a,1,-1,DONE,DONE,37.2
producer,tamrazov_1224,20026,0,a,1,-1,DONE,DONE,66.9
producer,tamrazov_1224,20028,0,a,1,-1,DONE,DONE,44.9
producer,tamrazov_1224,20029,1,a,1,-1,DONE,DONE,45.1
producer,distance_1100,20003,1,a,1,-1,DONE,DONE,25.1
producer,distance_1100,20002,0,a,1,-1,DONE,DONE,60.4
producer,distance_1100,20004,0,a,1,-1,DONE,DONE,47.3
producer,distance_1100,20005,1,a,1,-1,DONE,DONE,33.7
producer,distance_1100,20007,1,a,1,-1,DONE,DONE,22.9
producer,distance_1100,20006,0,a,1,-1,DONE,DONE,48.9
producer,distance_1100,20008,0,a,1,-1,DONE,DONE,44.3
producer,distance_1100,20010,0,a,1,-1,DONE,DONE,33.9
producer,distance_1100,20009,1,a,1,-1,DONE,DONE,62.1
producer,distance_1100,20011,1,a,1,-1,DONE,DONE,57.8
producer,distance_1100,20013,1,a,1,-1,DONE,DONE,54.0
producer,distance_1100,20012,0,a,1,-1,DONE,DONE,76.8
producer,distance_1100,20015,1,a,1,-1,DONE,DONE,37.3
producer,distance_1100,20014,0,a,1,-1,DONE,DONE,39.4
producer,distance_1100,20018,0,a,1,-1,DONE,DONE,37.2
producer,distance_1100,20017,1,a,1,-1,DONE,DONE,36.9
producer,distance_1100,20016,0,a,1,-1,DONE,DONE,82.7
producer,distance_1100,20021,1,a,1,-1,DONE,DONE,35.0
producer,distance_1100,20020,0,a,1,-1,DONE,DONE,54.3
producer,distance_1100,20019,1,a,1,-1,DONE,DONE,78.3
producer,distance_1100,20022,0,a,1,-1,DONE,DONE,42.9
producer,distance_1100,20025,1,a,1,-1,DONE,DONE,46.7
producer,distance_1100,20024,0,a,1,-1,DONE,DONE,53.6
producer,distance_1100,20023,1,a,1,-1,DONE,DONE,70.3
producer,distance_1100,20026,0,a,1,-1,DONE,DONE,51.4
producer,distance_1100,20027,1,a,1,-1,DONE,DONE,44.4
producer,distance_1100,20029,1,a,1,-1,DONE,DONE,52.3
producer,distance_1100,20028,0,a,1,-1,DONE,DONE,55.3
producer,apex,20003,1,a,1,-1,DONE,DONE,73.9
producer,apex,20002,0,a,1,-1,DONE,DONE,109.5
producer,apex,20004,0,a,1,-1,DONE,DONE,94.2
producer,apex,20005,1,a,1,-1,DONE,DONE,106.3
producer,apex,20006,0,a,1,-1,DONE,DONE,81.6
producer,apex,20007,1,a,1,-1,DONE,DONE,119.9
producer,apex,20009,1,a,1,-1,DONE,DONE,97.3
producer,apex,20010,0,a,1,-1,DONE,DONE,65.7
producer,apex,20011,1,a,1,-1,DONE,DONE,88.2
producer,apex,20012,0,a,1,-1,DONE,DONE,83.0
producer,apex,20008,0,a,1,-1,DONE,DONE,188.6
producer,apex,20013,1,a,1,-1,DONE,DONE,97.9
producer,apex,20014,0,a,1,-1,DONE,DONE,115.0
producer,apex,20017,1,a,1,-1,DONE,DONE,103.6
producer,apex,20016,0,a,1,-1,DONE,DONE,113.1
producer,apex,20018,0,a,1,-1,DONE,DONE,80.0
producer,apex,20020,0,a,1,-1,DONE,DONE,91.6
producer,apex,20015,1,a,1,-1,DONE,DONE,236.0
producer,apex,20021,1,a,1,-1,DONE,DONE,90.6
producer,apex,20019,1,a,1,-1,DONE,DONE,147.4
producer,apex,20022,0,a,1,-1,DONE,DONE,89.7
producer,apex,20023,1,a,1,-1,DONE,DONE,113.9
producer,apex,20024,0,a,1,-1,DONE,DONE,96.9
producer,apex,20025,1,a,1,-1,DONE,DONE,106.0
producer,apex,20026,0,a,1,-1,DONE,DONE,106.2
producer,apex,20027,1,a,1,-1,DONE,DONE,94.9
producer,apex,20029,1,a,1,-1,DONE,DONE,67.0
producer,exit_v2_exit_embed256_last,20002,0,a,1,-1,DONE,DONE,32.7
producer,exit_v2_exit_embed256_last,20003,1,a,1,-1,DONE,DONE,27.0
producer,exit_v2_exit_embed256_last,20004,0,a,1,-1,DONE,DONE,22.8
producer,exit_v2_exit_embed256_last,20005,1,a,1,-1,DONE,DONE,23.7
producer,apex,20028,0,a,1,-1,DONE,DONE,118.4
producer,exit_v2_exit_embed256_last,20006,0,a,1,-1,DONE,DONE,27.3
producer,exit_v2_exit_embed256_last,20008,0,a,1,-1,DONE,DONE,18.1
producer,exit_v2_exit_embed256_last,20007,1,a,1,-1,DONE,DONE,22.2
producer,exit_v2_exit_embed256_last,20011,1,a,1,-1,DONE,DONE,21.3
producer,exit_v2_exit_embed256_last,20012,0,a,1,-1,DONE,DONE,17.6
producer,exit_v2_exit_embed256_last,20009,1,a,1,-1,DONE,DONE,29.4
producer,exit_v2_exit_embed256_last,20010,0,a,1,-1,DONE,DONE,51.6
producer,exit_v2_exit_embed256_last,20014,0,a,1,-1,DONE,DONE,22.4
producer,exit_v2_exit_embed256_last,20013,1,a,1,-1,DONE,DONE,18.8
