triple,seed,variant,rank,reward,score,steps
mixed,30029,sr2,2,-1.0,0.0,113
mixed,30027,sr1,2,-1.0,0.0,473
clones,30000,sr1,2,-1.0,0.0,79
clones,30001,cw2,1,1.0,1302.0,124
clones,30000,sr2,2,-1.0,0.0,122
clones,30000,cw2,2,-1.0,0.0,193
clones,30001,off,1,1.0,2671.0,154
clones,30000,off,2,-1.0,0.0,272
clones,30002,off,2,-1.0,0.0,142
clones,30001,sr1,2,-1.0,0.0,164
clones,30001,sr2,2,-1.0,0.0,156
clones,30003,off,2,-1.0,0.0,119
clones,30002,sr1,2,-1.0,0.0,182
clones,30004,off,2,-1.0,0.0,94
clones,30002,cw2,2,-1.0,0.0,193
clones,30003,cw2,2,-1.0,0.0,233
clones,30003,sr1,2,-1.0,0.0,182
clones,30004,cw2,2,-1.0,0.0,100
clones,30004,sr1,2,-1.0,0.0,186
clones,30005,off,1,1.0,2223.0,105
clones,30004,sr2,2,-1.0,0.0,210
clones,30005,cw2,2,-1.0,0.0,158
clones,30006,sr1,2,-1.0,0.0,99
clones,30006,cw2,2,-1.0,0.0,154
clones,30003,sr2,1,1.0,3916.0,499
clones,30002,sr2,2,-1.0,4238.0,499
clones,30006,off,1,1.0,8714.0,499
clones,30007,off,2,-1.0,0.0,145
clones,30006,sr2,2,-1.0,0.0,164
clones,30005,sr2,2,-1.0,0.0,322
clones,30007,cw2,2,-1.0,0.0,176
clones,30007,sr2,2,-1.0,0.0,140
clones,30007,sr1,2,-1.0,0.0,188
clones,30005,sr1,1,1.0,1533.0,499
clones,30008,cw2,1,1.0,1618.0,237
clones,30008,sr1,2,-1.0,0.0,145
clones,30009,cw2,2,-1.0,0.0,98
clones,30009,sr1,1,1.0,2569.0,140
clones,30008,sr2,1,1.0,2856.0,227
clones,30010,off,2,-1.0,0.0,188
clones,30009,sr2,2,-1.0,0.0,187
clones,30010,cw2,2,-1.0,0.0,200
clones,30008,off,2,-1.0,351.0,499
clones,30010,sr2,2,-1.0,0.0,123
clones,30011,off,2,-1.0,0.0,111
clones,30011,sr2,1,1.0,778.0,83
clones,30012,off,1,1.0,396.0,96
clones,30011,sr1,2,-1.0,0.0,235
clones,30009,off,3,-1.0,0.0,499
clones,30011,cw2,2,-1.0,0.0,223
clones,30012,sr1,1,1.0,1610.0,212
clones,30012,cw2,2,-1.0,0.0,216
clones,30010,sr1,3,-1.0,0.0,499
clones,30013,off,2,-1.0,0.0,144
