agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_reinforce_size_beta1.5,v5,20002,0,b,-1,1,DONE,DONE,107,6.1
v5_reinforce_size_beta1.5,v5,20001,1,a,1,-1,DONE,DONE,154,10.0
v5_reinforce_size_beta1.5,v5,20000,0,a,1,-1,DONE,DONE,130,11.9
v5_reinforce_size_beta1.5,v5,20004,0,a,1,-1,DONE,DONE,134,8.8
v5_reinforce_size_beta1.5,v5,20003,1,b,-1,1,DONE,DONE,130,13.1
v5_reinforce_size_beta1.5,v5,20007,1,a,1,-1,DONE,DONE,158,10.6
v5_reinforce_size_beta1.5,v5,20009,1,b,-1,1,DONE,DONE,140,9.8
v5_reinforce_size_beta1.5,v5,20005,1,b,-1,1,DONE,DONE,191,20.9
v5_reinforce_size_beta1.5,v5,20006,0,b,-1,1,DONE,DONE,156,17.8
v5_reinforce_size_beta1.5,v5,20012,0,b,-1,1,DONE,DONE,138,10.7
v5_reinforce_size_beta1.5,v5,20008,0,b,-1,1,DONE,DONE,189,24.4
v5_reinforce_size_beta1.5,v5,20011,1,b,-1,1,DONE,DONE,207,16.2
v5_reinforce_size_beta1.5,v5,20010,0,a,1,-1,DONE,DONE,201,25.6
v5_reinforce_size_beta1.5,v5,20015,1,a,1,-1,DONE,DONE,159,10.9
v5_reinforce_size_beta1.5,v5,20013,1,a,1,-1,DONE,DONE,162,21.9
v5_reinforce_size_beta1.5,v5,20017,1,b,-1,1,DONE,DONE,144,10.7
v5_reinforce_size_beta1.5,v5,20014,0,a,1,-1,DONE,DONE,231,25.3
v5_reinforce_size_beta1.5,v5,20018,0,b,-1,1,DONE,DONE,120,10.6
v5_reinforce_size_beta1.5,v5,20016,0,b,-1,1,DONE,DONE,172,16.9
v5_reinforce_size_beta1.5,v5,20024,0,a,1,-1,DONE,DONE,132,10.9
v5_reinforce_size_beta1.5,v5,20020,0,a,1,-1,DONE,DONE,144,18.4
v5_reinforce_size_beta1.5,v5,20019,1,a,1,-1,DONE,DONE,140,17.8
v5_reinforce_size_beta1.5,v5,20022,0,a,1,-1,DONE,DONE,155,20.1
v5_reinforce_size_beta1.5,v5,20021,1,b,-1,1,DONE,DONE,151,18.0
v5_reinforce_size_beta1.5,v5,20025,1,b,-1,1,DONE,DONE,185,18.5
v5_reinforce_size_beta1.5,v5,20023,1,a,1,-1,DONE,DONE,499,34.6
v5_reinforce_size_beta1.5,v5,20027,1,a,1,-1,DONE,DONE,148,20.4
v5_reinforce_size_beta1.5,v5,20026,0,b,-1,1,DONE,DONE,161,18.5
v5_reinforce_size_beta1.5,v5,20029,1,b,-1,1,DONE,DONE,142,18.1
v5_reinforce_size_beta1.5,v5,20028,0,b,-1,1,DONE,DONE,158,13.5
