triple,seed,variant,rank,reward,score,steps
clones,31020,sr1,2,-1.0,0.0,242
clones,31023,sr1,2,-1.0,0.0,139
clones,31022,sr1,1,1.0,3602.0,218
clones,31023,off,2,-1.0,0.0,348
clones,31021,sr1,1,1.0,10563.0,499
clones,31024,off,2,-1.0,0.0,372
clones,31022,off,1,1.0,2559.0,499
clones,31025,sr1,2,-1.0,0.0,252
clones,31025,off,2,-1.0,0.0,313
clones,31026,off,2,-1.0,0.0,246
clones,31026,sr1,2,-1.0,0.0,143
clones,31027,sr1,2,-1.0,0.0,160
clones,31027,off,2,-1.0,0.0,186
clones,31029,off,2,-1.0,0.0,138
clones,31028,sr1,2,-1.0,0.0,118
clones,31028,off,2,-1.0,0.0,184
clones,31024,sr1,1,1.0,3976.0,499
clones,31029,sr1,2,-1.0,0.0,135
clones,31031,off,2,-1.0,0.0,142
clones,31032,off,2,-1.0,0.0,209
clones,31032,sr1,2,-1.0,0.0,177
clones,31030,sr1,2,-1.0,0.0,286
clones,31031,sr1,1,1.0,7644.0,249
clones,31033,off,2,-1.0,0.0,268
clones,31034,off,2,-1.0,0.0,179
clones,31030,off,3,-1.0,0.0,499
clones,31034,sr1,1,1.0,1479.0,181
clones,31035,sr1,2,-1.0,0.0,177
clones,31037,off,2,-1.0,0.0,125
clones,31038,off,2,-1.0,0.0,168
clones,31035,off,1,1.0,4207.0,274
clones,31037,sr1,2,-1.0,0.0,152
clones,31033,sr1,3,-1.0,0.0,499
clones,31036,off,2,-1.0,5287.0,499
clones,31039,sr1,2,-1.0,0.0,165
sparse,31000,sr1,1,1.0,2518.0,144
sparse,31000,off,2,-1.0,0.0,205
clones,31039,off,2,-1.0,0.0,231
clones,31036,sr1,3,-1.0,0.0,499
sparse,31001,off,1,1.0,1499.0,125
sparse,31002,off,1,1.0,2034.0,182
sparse,31001,sr1,1,1.0,2312.0,185
sparse,31003,off,1,1.0,3657.0,174
clones,31038,sr1,2,-1.0,0.0,391
sparse,31005,sr1,1,1.0,1696.0,106
sparse,31003,sr1,1,1.0,6102.0,250
sparse,31002,sr1,2,-1.0,0.0,209
sparse,31006,off,2,-1.0,0.0,94
sparse,31005,off,1,1.0,2794.0,213
sparse,31004,off,1,1.0,1194.0,311
sparse,31006,sr1,2,-1.0,0.0,186
sparse,31009,off,1,1.0,1940.0,122
sparse,31008,off,1,1.0,3919.0,188
sparse,31004,sr1,1,1.0,11542.0,499
sparse,31007,sr1,1,1.0,2332.0,135
sparse,31010,sr1,2,-1.0,0.0,149
sparse,31009,sr1,2,-1.0,0.0,105
sparse,31007,off,1,1.0,4766.0,207
sparse,31010,off,1,1.0,1944.0,182
sparse,31011,off,1,1.0,2150.0,129
sparse,31013,off,1,1.0,1334.0,94
sparse,31013,sr1,2,-1.0,0.0,154
sparse,31008,sr1,2,-1.0,0.0,186
sparse,31012,off,1,1.0,1987.0,188
sparse,31014,off,2,-1.0,0.0,152
sparse,31014,sr1,1,1.0,1598.0,148
sparse,31015,off,1,1.0,1671.0,115
sparse,31012,sr1,1,1.0,10000.0,499
sparse,31011,sr1,2,-1.0,123.0,499
sparse,31016,off,1,1.0,2527.0,145
sparse,31018,sr1,2,-1.0,0.0,133
sparse,31017,off,1,1.0,1285.0,246
sparse,31019,off,2,-1.0,0.0,123
sparse,31016,sr1,2,-1.0,0.0,190
sparse,31015,sr1,2,-1.0,0.0,197
sparse,31018,off,2,-1.0,0.0,192
sparse,31017,sr1,2,-1.0,104.0,499
sparse,31020,off,1,1.0,2762.0,151
sparse,31019,sr1,1,1.0,2466.0,158
sparse,31021,sr1,1,1.0,2597.0,141
sparse,31022,sr1,1,1.0,1471.0,122
sparse,31021,off,1,1.0,1466.0,255
sparse,31022,off,1,1.0,5047.0,168
sparse,31023,off,1,1.0,2790.0,183
sparse,31023,sr1,1,1.0,1529.0,142
sparse,31020,sr1,2,-1.0,0.0,247
sparse,31024,sr1,1,1.0,1554.0,104
sparse,31025,off,1,1.0,1998.0,102
sparse,31024,off,2,-1.0,0.0,209
sparse,31026,sr1,1,1.0,2178.0,136
sparse,31025,sr1,2,-1.0,0.0,117
sparse,31028,off,2,-1.0,0.0,125
sparse,31027,off,2,-1.0,0.0,237
sparse,31026,off,2,-1.0,93.0,499
sparse,31029,off,1,1.0,3709.0,178
sparse,31029,sr1,1,1.0,1631.0,152
sparse,31027,sr1,2,-1.0,0.0,202
sparse,31030,off,1,1.0,1083.0,95
sparse,31028,sr1,2,-1.0,0.0,357
sparse,31031,off,1,1.0,2494.0,138
sparse,31031,sr1,1,1.0,1573.0,92
sparse,31033,sr1,2,-1.0,0.0,116
sparse,31033,off,1,1.0,4859.0,136
sparse,31032,sr1,1,1.0,1426.0,126
sparse,31032,off,2,-1.0,0.0,148
sparse,31030,sr1,1,1.0,2872.0,211
sparse,31034,sr1,2,-1.0,0.0,124
sparse,31036,off,1,1.0,1883.0,128
sparse,31035,off,2,-1.0,0.0,268
sparse,31036,sr1,1,1.0,2285.0,177
sparse,31035,sr1,2,-1.0,0.0,182
sparse,31037,off,2,-1.0,0.0,235
sparse,31038,off,1,1.0,2297.0,167
sparse,31037,sr1,2,-1.0,0.0,179
sparse,31034,off,1,1.0,2497.0,307
sparse,31038,sr1,1,1.0,2735.0,192
sparse,31039,off,2,-1.0,0.0,155
sparse,31039,sr1,1,1.0,3269.0,124
