agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_reserve_frac0.35,v5,20002,0,b,-1,1,DONE,DONE,123,19.0
v5_reserve_frac0.35,v5,20004,0,b,-1,1,DONE,DONE,128,16.7
v5_reserve_frac0.35,v5,20001,1,a,1,-1,DONE,DONE,114,18.1
v5_reserve_frac0.35,v5,20005,1,b,-1,1,DONE,DONE,183,20.3
v5_reserve_frac0.35,v5,20003,1,a,1,-1,DONE,DONE,138,21.8
v5_reserve_frac0.35,v5,20000,0,b,-1,1,DONE,DONE,190,33.3
v5_reserve_frac0.35,v5,20006,0,a,1,-1,DONE,DONE,146,18.2
v5_reserve_frac0.35,v5,20009,1,a,1,-1,DONE,DONE,199,23.9
v5_reserve_frac0.35,v5,20011,1,b,-1,1,DONE,DONE,160,17.2
v5_reserve_frac0.35,v5,20008,0,a,1,-1,DONE,DONE,153,27.5
v5_reserve_frac0.35,v5,20007,1,a,1,-1,DONE,DONE,151,29.4
v5_reserve_frac0.35,v5,20010,0,b,-1,1,DONE,DONE,144,25.4
v5_reserve_frac0.35,v5,20014,0,b,-1,1,DONE,DONE,126,12.4
v5_reserve_frac0.35,v5,20015,1,a,1,-1,DONE,DONE,160,17.2
v5_reserve_frac0.35,v5,20016,0,b,-1,1,DONE,DONE,106,19.7
v5_reserve_frac0.35,v5,20013,1,b,-1,1,DONE,DONE,145,22.1
v5_reserve_frac0.35,v5,20012,0,a,1,-1,DONE,DONE,190,35.5
v5_reserve_frac0.35,v5,20017,1,a,1,-1,DONE,DONE,144,25.1
v5_reserve_frac0.35,v5,20021,1,b,-1,1,DONE,DONE,130,13.0
v5_reserve_frac0.35,v5,20018,0,a,1,-1,DONE,DONE,246,24.8
v5_reserve_frac0.35,v5,20019,1,b,-1,1,DONE,DONE,124,20.3
v5_reserve_frac0.35,v5,20020,0,a,1,-1,DONE,DONE,170,28.7
v5_reserve_frac0.35,v5,20022,0,b,-1,1,DONE,DONE,178,27.5
v5_reserve_frac0.35,v5,20023,1,b,-1,1,DONE,DONE,146,22.8
v5_reserve_frac0.35,v5,20024,0,b,-1,1,DONE,DONE,135,22.4
v5_reserve_frac0.35,v5,20028,0,b,-1,1,DONE,DONE,107,13.9
