agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_reinforce_size_beta2.2,v5,20002,0,a,1,-1,DONE,DONE,153,19.2
v5_reinforce_size_beta2.2,v5,20003,1,b,-1,1,DONE,DONE,133,24.3
v5_reinforce_size_beta2.2,v5,20001,1,a,1,-1,DONE,DONE,277,29.9
v5_reinforce_size_beta2.2,v5,20004,0,b,-1,1,DONE,DONE,167,29.0
v5_reinforce_size_beta2.2,v5,20005,1,a,1,-1,DONE,DONE,198,33.9
v5_reinforce_size_beta2.2,v5,20006,0,a,1,-1,DONE,DONE,175,14.4
v5_reinforce_size_beta2.2,v5,20008,0,a,1,-1,DONE,DONE,181,15.4
v5_reinforce_size_beta2.2,v5,20009,1,a,1,-1,DONE,DONE,200,24.7
v5_reinforce_size_beta2.2,v5,20010,0,a,1,-1,DONE,DONE,190,21.8
v5_reinforce_size_beta2.2,v5,20000,0,tie,1,1,DONE,DONE,499,59.3
v5_reinforce_size_beta2.2,v5,20012,0,a,1,-1,DONE,DONE,206,14.1
v5_reinforce_size_beta2.2,v5,20011,1,tie,1,1,DONE,DONE,499,39.5
v5_reinforce_size_beta2.2,v5,20015,1,b,-1,1,DONE,DONE,163,17.4
v5_reinforce_size_beta2.2,v5,20013,1,b,-1,1,DONE,DONE,194,19.6
v5_reinforce_size_beta2.2,v5,20007,1,a,1,-1,DONE,DONE,446,51.3
v5_reinforce_size_beta2.2,v5,20014,0,a,1,-1,DONE,DONE,163,24.2
v5_reinforce_size_beta2.2,v5,20019,1,a,1,-1,DONE,DONE,256,22.9
v5_reinforce_size_beta2.2,v5,20016,0,b,-1,1,DONE,DONE,499,42.5
v5_reinforce_size_beta2.2,v5,20017,1,a,1,-1,DONE,DONE,157,27.0
v5_reinforce_size_beta2.2,v5,20020,0,b,-1,1,DONE,DONE,218,31.5
v5_reinforce_size_beta2.2,v5,20021,1,a,1,-1,DONE,DONE,178,30.4
v5_reinforce_size_beta2.2,v5,20018,0,a,1,-1,DONE,DONE,378,47.8
v5_reinforce_size_beta2.2,v5,20025,1,a,1,-1,DONE,DONE,188,17.6
v5_reinforce_size_beta2.2,v5,20027,1,a,1,-1,DONE,DONE,134,14.0
