agent_a,agent_b,seed,a_side,outcome,reward_a,reward_b,status_a,status_b,steps,seconds
v5_defense_size_beta1.5,v5,20000,0,b,-1,1,DONE,DONE,117,8.1
v5_defense_size_beta1.5,v5,20005,1,b,-1,1,DONE,DONE,114,8.1
v5_defense_size_beta1.5,v5,20001,1,b,-1,1,DONE,DONE,96,12.3
v5_defense_size_beta1.5,v5,20002,0,b,-1,1,DONE,DONE,117,14.0
v5_defense_size_beta1.5,v5,20006,0,b,-1,1,DONE,DONE,138,9.8
v5_defense_size_beta1.5,v5,20003,1,a,1,-1,DONE,DONE,156,19.8
v5_defense_size_beta1.5,v5,20008,0,b,-1,1,DONE,DONE,129,16.5
v5_defense_size_beta1.5,v5,20010,0,b,-1,1,DONE,DONE,188,12.3
v5_defense_size_beta1.5,v5,20009,1,b,-1,1,DONE,DONE,143,15.4
v5_defense_size_beta1.5,v5,20007,1,b,-1,1,DONE,DONE,392,25.2
v5_defense_size_beta1.5,v5,20013,1,b,-1,1,DONE,DONE,130,9.9
v5_defense_size_beta1.5,v5,20012,0,b,-1,1,DONE,DONE,108,13.9
v5_defense_size_beta1.5,v5,20011,1,b,-1,1,DONE,DONE,163,19.7
v5_defense_size_beta1.5,v5,20014,0,b,-1,1,DONE,DONE,120,16.1
v5_defense_size_beta1.5,v5,20018,0,b,-1,1,DONE,DONE,143,14.0
v5_defense_size_beta1.5,v5,20019,1,b,-1,1,DONE,DONE,112,10.5
v5_defense_size_beta1.5,v5,20004,0,a,1,-1,DONE,DONE,499,58.0
v5_defense_size_beta1.5,v5,20017,1,b,-1,1,DONE,DONE,127,20.2
v5_defense_size_beta1.5,v5,20016,0,b,-1,1,DONE,DONE,134,18.2
v5_defense_size_beta1.5,v5,20015,1,a,1,-1,DONE,DONE,284,42.5
v5_defense_size_beta1.5,v5,20020,0,b,-1,1,DONE,DONE,132,20.2
v5_defense_size_beta1.5,v5,20022,0,b,-1,1,DONE,DONE,177,18.4
v5_defense_size_beta1.5,v5,20024,0,b,-1,1,DONE,DONE,123,14.0
v5_defense_size_beta1.5,v5,20021,1,b,-1,1,DONE,DONE,129,17.3
v5_defense_size_beta1.5,v5,20025,1,b,-1,1,DONE,DONE,132,12.6
v5_defense_size_beta1.5,v5,20026,0,b,-1,1,DONE,DONE,96,13.5
