opp,seed,side,variant,win,tie,reward,margin,steps
producer_v2,40024,0,ens,1,0,1.0,1830.0,160
producer_v2,40023,0,ens,1,0,1.0,3363.0,424
producer_v2,40025,0,single,0,0,-1.0,-2242.0,132
producer_v2,40024,1,single,0,0,-1.0,-1783.0,164
producer_v2,40022,1,ens,0,1,1.0,0.0,499
producer_v2,40023,1,single,1,0,1.0,15700.0,499
producer_v2,40024,1,ens,1,0,1.0,1550.0,207
producer_v2,40025,0,ens,1,0,1.0,1277.0,193
producer_v2,40025,1,single,1,0,1.0,812.0,276
producer_v2,40025,1,ens,0,0,-1.0,-1436.0,138
producer_v2,40026,1,single,1,0,1.0,2278.0,132
producer_v2,40026,0,ens,0,0,-1.0,-1427.0,145
producer_v2,40027,0,single,0,0,-1.0,-1911.0,153
producer_v2,40026,0,single,1,0,1.0,790.0,273
producer_v2,40027,1,single,1,0,1.0,1437.0,109
producer_v2,40027,1,ens,0,0,-1.0,-2142.0,149
producer_v2,40026,1,ens,1,0,1.0,843.0,310
producer_v2,40028,0,single,0,0,-1.0,-1646.0,226
producer_v2,40028,0,ens,1,0,1.0,1626.0,138
producer_v2,40027,0,ens,0,0,-1.0,-1004.0,338
producer_v2,40029,1,single,0,0,-1.0,-2450.0,190
producer_v2,40029,0,single,0,0,-1.0,-2302.0,176
producer_v2,40030,0,single,1,0,1.0,1902.0,146
producer_v2,40029,0,ens,0,0,-1.0,-1793.0,243
producer_v2,40029,1,ens,0,0,-1.0,-2106.0,177
producer_v2,40030,0,ens,1,0,1.0,1300.0,171
producer_v2,40030,1,single,0,0,-1.0,-1497.0,214
producer_v2,40028,1,ens,1,0,1.0,8.0,499
producer_v2,40028,1,single,1,0,1.0,2070.0,438
producer_v2,40031,0,ens,0,0,-1.0,-1512.0,159
producer_v2,40030,1,ens,0,0,-1.0,-1942.0,176
producer_v2,40031,0,single,1,0,1.0,2475.0,186
producer_v2,40031,1,single,0,0,-1.0,-1796.0,200
producer_v2,40032,0,ens,0,0,-1.0,-1070.0,156
producer_v2,40033,0,single,1,0,1.0,1433.0,143
producer_v2,40031,1,ens,0,0,-1.0,-1497.0,237
producer_v2,40032,1,ens,1,0,1.0,1566.0,192
producer_v2,40032,1,single,1,0,1.0,1137.0,397
producer_v2,40033,1,single,1,0,1.0,1797.0,178
producer_v2,40033,0,ens,1,0,1.0,1521.0,155
producer_v2,40032,0,single,0,0,-1.0,-24.0,499
producer_v2,40034,0,ens,1,0,1.0,2128.0,128
producer_v2,40034,1,single,1,0,1.0,1629.0,104
producer_v2,40034,0,single,0,0,-1.0,-2206.0,189
producer_v2,40033,1,ens,0,0,-1.0,-2037.0,287
producer_v2,40035,0,single,0,0,-1.0,-2635.0,181
producer_v2,40035,1,single,1,0,1.0,2754.0,174
producer_v2,40035,1,ens,0,0,-1.0,-1894.0,171
producer_v2,40035,0,ens,1,0,1.0,1912.0,266
producer_v2,40036,0,ens,1,0,1.0,1222.0,218
producer_v2,40036,0,single,1,0,1.0,2206.0,225
producer_v2,40034,1,ens,0,0,-1.0,-188.0,499
producer_v2,40037,0,single,0,0,-1.0,-1856.0,174
producer_v2,40036,1,ens,1,0,1.0,1623.0,199
producer_v2,40036,1,single,1,0,1.0,1280.0,410
producer_v2,40037,0,ens,1,0,1.0,1426.0,177
producer_v2,40037,1,single,0,0,-1.0,-1621.0,192
producer_v2,40037,1,ens,1,0,1.0,2538.0,278
producer_v2,40038,1,ens,1,0,1.0,1578.0,157
producer_v2,40038,0,single,0,0,-1.0,-2798.0,233
producer_v2,40038,0,ens,0,0,-1.0,-1524.0,200
producer_v2,40038,1,single,0,0,-1.0,-1706.0,312
producer_v2,40039,0,ens,1,0,1.0,1657.0,276
producer_v2,40040,0,single,1,0,1.0,1581.0,154
producer_v2,40039,0,single,0,0,-1.0,-941.0,385
producer_v2,40040,1,single,1,0,1.0,1686.0,189
producer_v2,40040,0,ens,0,0,-1.0,-1023.0,313
producer_v2,40040,1,ens,1,0,1.0,1886.0,154
producer_v2,40041,0,single,0,0,-1.0,-1588.0,140
producer_v2,40039,1,single,1,0,1.0,58.0,499
producer_v2,40041,0,ens,1,0,1.0,1574.0,215
producer_v2,40042,0,ens,0,0,-1.0,-1540.0,128
producer_v2,40042,0,single,0,0,-1.0,-1360.0,138
producer_v2,40041,1,ens,1,0,1.0,1683.0,209
producer_v2,40042,1,single,0,0,-1.0,-616.0,250
producer_v2,40039,1,ens,0,0,-1.0,-36689.0,499
producer_v2,40041,1,single,1,0,1.0,1322.0,329
producer_v2,40043,0,single,0,0,-1.0,-2625.0,165
producer_v2,40042,1,ens,1,0,1.0,1319.0,192
producer_v2,40043,1,single,0,0,-1.0,-2459.0,153
