archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
swarmer,0,20056,0,v5,1,-1,3611.0,0.0,137,DONE,DONE,15.5
swarmer,0,20068,0,v5,1,-1,2860.0,0.0,99,DONE,DONE,5.7
swarmer,0,20065,1,v5,1,-1,5559.0,0.0,128,DONE,DONE,11.2
swarmer,0,20066,0,v5,1,-1,3227.0,0.0,80,DONE,DONE,9.2
swarmer,0,20067,1,v5,1,-1,2618.0,0.0,158,DONE,DONE,11.0
swarmer,0,20069,1,v5,1,-1,2142.0,0.0,112,DONE,DONE,9.7
swarmer,0,20070,0,v5,1,-1,3191.0,0.0,133,DONE,DONE,8.8
swarmer,0,20064,0,v5,1,-1,6367.0,0.0,158,DONE,DONE,15.4
swarmer,0,20072,0,v5,1,-1,4236.0,0.0,141,DONE,DONE,14.4
swarmer,0,20076,0,v5,1,-1,1803.0,0.0,107,DONE,DONE,7.6
swarmer,0,20078,0,v5,1,-1,1898.0,0.0,81,DONE,DONE,4.8
swarmer,0,20071,1,v5,1,-1,7917.0,0.0,152,DONE,DONE,11.0
swarmer,0,20077,1,v5,1,-1,6581.0,0.0,120,DONE,DONE,9.4
swarmer,0,20079,1,v5,1,-1,4516.0,0.0,123,DONE,DONE,8.2
swarmer,0,20073,1,v5,1,-1,4318.0,0.0,142,DONE,DONE,15.7
swarmer,0,20074,0,v5,1,-1,9169.0,0.0,165,DONE,DONE,17.0
swarmer,0,20080,0,v5,1,-1,4942.0,0.0,128,DONE,DONE,8.9
swarmer,0,20083,1,v5,1,-1,7326.0,0.0,139,DONE,DONE,7.4
swarmer,0,20084,0,v5,1,-1,3054.0,0.0,127,DONE,DONE,8.4
swarmer,0,20082,0,v5,1,-1,4418.0,0.0,127,DONE,DONE,11.9
swarmer,0,20075,1,v5,1,-1,6263.0,0.0,220,DONE,DONE,24.6
swarmer,0,20086,0,v5,1,-1,4555.0,0.0,117,DONE,DONE,6.9
swarmer,0,20087,1,v5,1,-1,6631.0,0.0,128,DONE,DONE,8.4
swarmer,0,20090,0,v5,1,-1,455.0,0.0,92,DONE,DONE,4.7
swarmer,0,20088,0,v5,1,-1,1642.0,0.0,94,DONE,DONE,8.6
swarmer,0,20089,1,v5,1,-1,3489.0,0.0,92,DONE,DONE,8.5
swarmer,0,20085,1,v5,1,-1,891.0,0.0,64,DONE,DONE,6.5
swarmer,0,20081,1,v5,1,-1,7435.0,0.0,133,DONE,DONE,14.4
swarmer,0,20091,1,v5,1,-1,2773.0,0.0,151,DONE,DONE,8.2
swarmer,0,20093,1,v5,1,-1,7026.0,0.0,128,DONE,DONE,9.2
swarmer,0,20094,0,v5,1,-1,6379.0,0.0,126,DONE,DONE,16.1
swarmer,0,20097,1,v5,1,-1,6850.0,0.0,145,DONE,DONE,10.3
swarmer,0,20092,0,v5,1,-1,6090.0,0.0,149,DONE,DONE,11.0
swarmer,0,20096,0,v5,1,-1,7549.0,0.0,136,DONE,DONE,18.0
swarmer,0,20099,1,v5,1,-1,3512.0,0.0,145,DONE,DONE,11.2
swarmer,0,20095,1,v5,1,-1,4708.0,0.0,141,DONE,DONE,15.6
swarmer,0,20101,1,v5,1,-1,1794.0,0.0,99,DONE,DONE,8.1
swarmer,0,20098,0,v5,1,-1,2531.0,0.0,140,DONE,DONE,14.8
swarmer,0,20103,1,v5,1,-1,6278.0,0.0,146,DONE,DONE,8.6
swarmer,0,20102,0,v5,1,-1,5022.0,0.0,148,DONE,DONE,15.2
swarmer,0,20105,1,v5,1,-1,4671.0,0.0,132,DONE,DONE,8.4
swarmer,0,20104,0,v5,1,-1,4231.0,0.0,148,DONE,DONE,14.5
swarmer,0,20106,0,v5,1,-1,2817.0,0.0,109,DONE,DONE,10.9
swarmer,0,20108,0,v5,1,-1,5876.0,0.0,133,DONE,DONE,8.3
swarmer,0,20100,0,v5,1,-1,5894.0,0.0,152,DONE,DONE,16.6
swarmer,0,20107,1,v5,1,-1,1695.0,0.0,177,DONE,DONE,14.4
swarmer,0,20110,0,v5,1,-1,4320.0,0.0,129,DONE,DONE,9.3
swarmer,0,20112,0,v5,1,-1,4009.0,0.0,86,DONE,DONE,6.6
swarmer,0,20111,1,v5,1,-1,3750.0,0.0,130,DONE,DONE,12.8
swarmer,0,20115,1,v5,1,-1,1368.0,0.0,106,DONE,DONE,9.3
swarmer,0,20109,1,v5,1,-1,2385.0,0.0,146,DONE,DONE,14.8
swarmer,0,20114,0,v5,1,-1,4135.0,0.0,132,DONE,DONE,11.3
swarmer,0,20113,1,v5,1,-1,2471.0,0.0,133,DONE,DONE,7.1
swarmer,0,20117,1,v5,1,-1,6410.0,0.0,149,DONE,DONE,14.2
swarmer,0,20116,0,v5,1,-1,4240.0,0.0,148,DONE,DONE,12.6
swarmer,0,20118,0,v5,1,-1,5326.0,0.0,143,DONE,DONE,13.8
swarmer,0,20119,1,v5,1,-1,5541.0,0.0,134,DONE,DONE,14.8
swarmer,1,20001,1,v5,1,-1,3266.0,0.0,106,DONE,DONE,10.6
swarmer,1,20003,1,v5,1,-1,4364.0,0.0,131,DONE,DONE,12.3
swarmer,1,20004,0,v5,1,-1,5132.0,0.0,139,DONE,DONE,15.3
swarmer,1,20005,1,v5,1,-1,8924.0,0.0,141,DONE,DONE,17.2
swarmer,1,20000,0,v5,1,-1,5944.0,0.0,144,DONE,DONE,21.0
swarmer,1,20007,1,v5,1,-1,3297.0,0.0,137,DONE,DONE,8.3
swarmer,1,20006,0,v5,1,-1,6775.0,0.0,149,DONE,DONE,11.5
swarmer,1,20002,0,v5,1,-1,1505.0,0.0,118,DONE,DONE,12.7
swarmer,1,20011,1,v5,1,-1,5587.0,0.0,126,DONE,DONE,6.0
swarmer,1,20008,0,v5,1,-1,3082.0,0.0,88,DONE,DONE,11.2
swarmer,1,20010,0,v5,1,-1,1980.0,0.0,97,DONE,DONE,9.7
swarmer,1,20009,1,v5,1,-1,6613.0,0.0,139,DONE,DONE,14.1
swarmer,1,20012,0,v5,1,-1,4662.0,0.0,152,DONE,DONE,11.3
swarmer,1,20013,1,v5,1,-1,3284.0,0.0,148,DONE,DONE,11.4
swarmer,1,20018,0,v5,1,-1,1460.0,0.0,72,DONE,DONE,6.9
swarmer,1,20014,0,v5,1,-1,5353.0,0.0,151,DONE,DONE,12.7
swarmer,1,20020,0,v5,1,-1,6877.0,0.0,144,DONE,DONE,7.5
swarmer,1,20016,0,v5,1,-1,3817.0,0.0,159,DONE,DONE,11.6
swarmer,1,20017,1,v5,1,-1,5207.0,0.0,156,DONE,DONE,19.3
swarmer,1,20021,1,v5,1,-1,3874.0,0.0,106,DONE,DONE,10.9
swarmer,1,20019,1,v5,1,-1,3261.0,0.0,83,DONE,DONE,6.1
swarmer,1,20022,0,v5,1,-1,2265.0,0.0,89,DONE,DONE,10.3
swarmer,1,20025,1,v5,1,-1,6267.0,0.0,151,DONE,DONE,10.4
swarmer,1,20015,1,v5,1,-1,6568.0,0.0,145,DONE,DONE,23.4
swarmer,1,20023,1,v5,1,-1,2694.0,0.0,127,DONE,DONE,14.2
swarmer,1,20028,0,v5,1,-1,1269.0,0.0,69,DONE,DONE,5.1
swarmer,1,20026,0,v5,1,-1,3921.0,0.0,112,DONE,DONE,7.2
swarmer,1,20031,1,v5,1,-1,1675.0,0.0,97,DONE,DONE,6.5
swarmer,1,20024,0,v5,1,-1,6511.0,0.0,131,DONE,DONE,13.5
swarmer,1,20030,0,v5,1,-1,8195.0,0.0,146,DONE,DONE,10.1
swarmer,1,20029,1,v5,1,-1,4866.0,0.0,118,DONE,DONE,15.7
swarmer,1,20027,1,v5,1,-1,5033.0,0.0,146,DONE,DONE,20.6
swarmer,1,20034,0,v5,1,-1,2507.0,0.0,144,DONE,DONE,16.6
swarmer,1,20032,0,v5,1,-1,4965.0,0.0,127,DONE,DONE,13.2
swarmer,1,20037,1,v5,1,-1,3662.0,0.0,90,DONE,DONE,6.0
swarmer,1,20033,1,v5,1,-1,9341.0,0.0,319,DONE,DONE,22.9
swarmer,1,20035,1,v5,1,-1,5261.0,0.0,147,DONE,DONE,19.7
swarmer,1,20036,0,v5,1,-1,7907.0,0.0,153,DONE,DONE,21.0
swarmer,1,20040,0,v5,1,-1,3927.0,0.0,166,DONE,DONE,11.4
swarmer,1,20039,1,v5,1,-1,2751.0,0.0,84,DONE,DONE,12.1
swarmer,1,20038,0,v5,1,-1,3035.0,0.0,118,DONE,DONE,13.9
swarmer,1,20041,1,v5,1,-1,4629.0,0.0,155,DONE,DONE,10.0
swarmer,1,20046,0,v5,1,-1,1701.0,0.0,80,DONE,DONE,8.6
swarmer,1,20043,1,v5,1,-1,4955.0,0.0,159,DONE,DONE,10.7
swarmer,1,20042,0,v5,1,-1,2651.0,0.0,156,DONE,DONE,19.4
swarmer,1,20048,0,v5,1,-1,3580.0,0.0,85,DONE,DONE,7.0
swarmer,1,20045,1,v5,1,-1,3613.0,0.0,178,DONE,DONE,22.2
swarmer,1,20044,0,v5,1,-1,6031.0,0.0,144,DONE,DONE,16.3
swarmer,1,20047,1,v5,1,-1,6169.0,0.0,153,DONE,DONE,16.2
swarmer,1,20052,0,v5,1,-1,3330.0,0.0,151,DONE,DONE,10.2
swarmer,1,20054,0,v5,1,-1,5907.0,0.0,129,DONE,DONE,8.9
