update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,2.1648948788642883,0.0,0.0,0.0,-0.001500176964327693,-0.00040853116661310196,32.0,0.019465656951069832
2,4.833593845367432,0.0,0.0,0.0,0.01034521870315075,-0.004135703667998314,32.0,0.07729778252542019
3,1.7542271614074707,0.0,0.0,0.0,0.2346106469631195,5.0649046897888184e-05,32.0,0.48666227608919144
4,0.7299649715423584,0.0,0.0,0.0,0.16127024590969086,-6.551109254360199e-05,32.0,0.32997117191553116
5,3.218805491924286,-1.112,1.0,0.0,-0.00875790324062109,-0.0001778951846063137,32.0,0.015028038993477821
6,10.947800397872925,0.0,0.0,0.0,-0.05710180103778839,-0.00309870857745409,32.0,0.0014718184247612953
7,16.463536262512207,0.0,0.0,0.0,-0.09417230077087879,-0.014724845066666603,32.0,0.005740450462326407
8,22.630123138427734,0.0,0.0,0.0,-0.12240752205252647,-0.010794830974191427,32.0,0.003075836633797735
9,28.594488620758057,0.0,0.0,0.0,-0.14582043886184692,-0.007085135672241449,32.0,0.008474269649013877
10,32.393473625183105,0.0,0.0,0.0,-0.16096195206046104,-0.0019807331264019012,32.0,0.005972294835373759
11,34.670907974243164,0.0,0.0,0.0,-0.17104076221585274,-0.0015041343867778778,32.0,0.007635816291440278
12,40.54061031341553,0.0,0.0,0.0,-0.2007986083626747,-0.001929447054862976,32.0,0.007667765486985445
13,45.39273166656494,0.0,0.0,0.0,-0.22551115229725838,-0.0022008861415088177,32.0,0.007306778919883072
14,39.40589237213135,0.0,0.0,0.0,-0.20210989192128181,-0.007755891419947147,32.0,0.005350916646420956
15,40.9246244430542,0.0,0.0,0.0,-0.19968608394265175,-0.007838941644877195,32.0,0.025551953818649054
16,42.666391372680664,0.0,0.0,0.0,-0.21920273080468178,-0.018547695595771074,32.0,0.02535383775830269
17,35.70554733276367,0.0,0.0,0.0,-0.17697804048657417,-0.005385538097470999,32.0,0.013870468130335212
18,35.42691230773926,0.0,0.0,0.0,-0.1795937828719616,-0.005482771899551153,32.0,0.006047085102181882
19,35.48888874053955,0.0,0.0,0.0,-0.18797063827514648,-0.01786922663450241,32.0,0.014686059905216098
20,20.581132888793945,-1.1320000000000001,1.0,0.0,-0.08109182491898537,-0.007234127260744572,32.0,0.05809592641890049
21,2.1800063252449036,0.0,0.0,0.0,-0.005897227092646062,0.000323036452755332,32.0,0.009359535528346896
22,3.427777349948883,0.0,0.0,0.0,-0.02363671362400055,-0.008365890011191368,32.0,0.003736125770956278
23,6.380197286605835,0.0,0.0,0.0,-0.04963461868464947,-0.01862481888383627,32.0,0.001782371175067965
24,13.039816617965698,0.0,0.0,0.0,-0.07602221611887217,-0.01539340103045106,32.0,0.009140533511526883
25,25.52465009689331,0.0,0.0,0.0,-0.10858810506761074,0.003965121228247881,32.0,0.030140038579702377
26,41.6447229385376,0.0,0.0,0.0,-0.08735059201717377,0.05095462128520012,32.0,0.13983679935336113
27,47.30870723724365,0.0,0.0,0.0,-0.19102606922388077,-0.024668963626027107,32.0,0.14037286303937435
28,58.744028091430664,0.0,0.0,0.0,-0.20253753289580345,-0.019157344941049814,32.0,0.2206798903644085
29,64.40265464782715,0.0,0.0,0.0,-0.31840210407972336,-0.020192650612443686,32.0,0.04760765004903078
30,63.61061763763428,0.0,0.0,0.0,-0.272724736481905,-0.047416006214916706,32.0,0.18548870831727982
31,68.87347412109375,0.0,0.0,0.0,-0.24619457870721817,-0.025444944389164448,32.0,0.2472354732453823
32,75.39167594909668,0.0,0.0,0.0,-0.35925497859716415,-0.011384733021259308,32.0,0.05817624740302563
33,70.33207321166992,0.0,0.0,0.0,-0.3276108354330063,-0.0360207580961287,32.0,0.1201405692845583
34,74.21928787231445,0.0,0.0,0.0,-0.28733136504888535,-0.008701901882886887,32.0,0.18493392691016197
35,70.27349662780762,0.0,0.0,0.0,-0.3694922998547554,-0.035998230800032616,32.0,0.035746811889111996
36,2.657058537006378,1.396,1.0,0.0,0.053627366200089455,-0.00873391143977642,32.0,0.15129313990473747
37,5.883629679679871,0.0,0.0,0.0,0.21970553696155548,-0.03129022102802992,32.0,0.5608278065919876
38,4.7159271240234375,0.0,0.0,0.0,0.5976786762475967,0.003702037036418915,32.0,1.2351125478744507
39,1.0238419771194458,0.0,0.0,0.0,0.9449192881584167,-0.0005654809065163136,32.0,1.9012079536914825
40,1.686154842376709,-2.856,1.0,0.0,0.17673777043819427,-0.010910708457231522,32.0,0.39215850830078125
41,11.115234375,0.0,0.0,0.0,-0.059291479177773,-0.0051312800496816635,32.0,0.002831943304045126
42,25.99702024459839,0.0,0.0,0.0,-0.12220385856926441,-0.01141656981781125,32.0,0.038395628333091736
43,32.7498722076416,0.0,0.0,0.0,-0.17075448483228683,-0.018362893257290125,32.0,0.02271553874015808
44,35.11544322967529,0.0,0.0,0.0,-0.17446854710578918,-0.013608983252197504,32.0,0.029435294214636087
45,46.9075403213501,0.0,0.0,0.0,-0.2502109706401825,-0.031709052389487624,32.0,0.0320715494453907
46,43.89717769622803,0.0,0.0,0.0,-0.22911464795470238,-0.015195610467344522,32.0,0.011133698280900717
47,51.57526874542236,0.0,0.0,0.0,-0.2064768224954605,-0.014451790601015091,32.0,0.13170259818434715
48,66.05035972595215,0.0,0.0,0.0,-0.16621133685112,-0.0034681782126426697,32.0,0.33501727133989334
49,68.17413330078125,0.0,0.0,0.0,-0.1649371199309826,0.011704846052452922,32.0,0.32845737785100937
50,70.08439254760742,0.0,0.0,0.0,-0.05712592601776123,-0.004615155514329672,32.0,0.5958223789930344
51,80.74503135681152,0.0,0.0,0.0,-0.11083376407623291,-0.007312332279980183,32.0,0.6004074066877365
52,79.82571220397949,0.0,0.0,0.0,-0.20757487788796425,0.003119399771094322,32.0,0.3768685609102249
53,80.11434555053711,0.0,0.0,0.0,0.026921965181827545,-0.005838280078023672,32.0,0.8666639178991318
54,89.5579833984375,0.0,0.0,0.0,0.07925537973642349,-8.046184666454792e-05,32.0,1.0542515069246292
55,63.45524215698242,1.9220000000000002,1.0,0.0,-0.26670608669519424,-0.014168133493512869,32.0,0.12947650253772736
56,2.083996057510376,0.0,0.0,0.0,-0.011890725698322058,-0.004689557012170553,32.0,0.006437622825615108
57,9.730229377746582,0.0,0.0,0.0,-0.0025122445076704025,0.0037596928887069225,32.0,0.08475841768085957
58,19.478427410125732,0.0,0.0,0.0,-0.07078615576028824,-0.001769552007317543,32.0,0.05675106216222048
59,31.812930583953857,0.0,0.0,0.0,-0.11229304224252701,-0.015341704711318016,32.0,0.12422661855816841
60,51.349013328552246,0.0,0.0,0.0,0.016708649694919586,-0.0016235198127105832,32.0,0.5501544550061226
61,64.34043502807617,0.0,0.0,0.0,-0.2436813972890377,-0.01479378528892994,32.0,0.18562912195920944
62,58.85953617095947,0.0,0.0,0.0,-0.2719288468360901,-0.002528744749724865,32.0,0.04979511443525553
63,62.1303186416626,0.0,0.0,0.0,-0.2738756276667118,-0.013936419505625963,32.0,0.10142475366592407
64,73.51384162902832,0.0,0.0,0.0,-0.28173214942216873,-0.009579902049154043,32.0,0.19083388149738312
65,68.09101867675781,0.0,0.0,0.0,-0.28561657667160034,-0.003879477269947529,32.0,0.11743598245084286
66,39.007755279541016,2.3680000000000003,1.0,0.0,0.3172872066497803,0.011518808314576745,32.0,1.0016143172979355
67,2.4523056745529175,0.0,0.0,0.0,0.036086237989366055,-0.0019101982470601797,32.0,0.10051592998206615
68,2.542233467102051,0.0,0.0,0.0,0.13690781965851784,-0.005145684815943241,32.0,0.3095293417572975
69,0.4124407544732094,0.0,0.0,0.0,2.0287616550922394,-0.008393272757530212,32.0,4.078434407711029
70,1.066041648387909,-2.194,1.0,0.0,0.976195752620697,5.5921729654073715e-05,32.0,1.9629400670528412
71,1.140346735715866,0.0,0.0,0.0,1.7654415667057037,-0.000599301652982831,32.0,3.5434852838516235
72,0.0,0.0,0.0,0.0,1.6890996992588043,-1.30385160446167e-08,32.0,3.3781993985176086
73,0.33015336096286774,-1.88,1.0,0.0,0.32055774331092834,-1.1412426829338074e-05,32.0,0.6444398313760757
74,0.3153158649802208,0.0,0.0,0.0,0.05546264257282019,0.00023048045113682747,32.0,0.11361748166382313
75,0.7590551823377609,0.0,0.0,0.0,0.8600923717021942,-0.004743034020066261,32.0,1.7372613549232483
76,0.9851300567388535,-3.44,1.0,0.0,0.25616103783249855,0.0032289214432239532,32.0,0.5157155320048332
77,3.400714635848999,0.0,0.0,0.0,-0.022478656843304634,-0.016086927731521428,32.0,0.021223688032478094
78,10.225419759750366,0.0,0.0,0.0,-0.06539487279951572,-0.016294953413307667,32.0,0.004054356599226594
79,10.022150754928589,0.0,0.0,0.0,-0.069208606146276,-0.024193994235247374,32.0,0.010192282032221556
