update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,2.8051329851150513,0.0,0.0,0.0,-0.08028602227568626,-0.0006608073599636555,32.0,0.00905754411360249
2,5.980242609977722,0.0,0.0,0.0,-0.16339530050754547,-0.005019716452807188,32.0,0.04206338198855519
3,1.871558427810669,0.0,0.0,0.0,0.15906516835093498,-0.005986265605315566,32.0,0.4423963725566864
4,0.0,0.0,0.0,0.0,0.189397431910038,7.450580596923828e-09,32.0,0.3787948414683342
5,1.0398795008659363,-2.904000000000001,1.0,0.0,0.01936887390911579,-0.005312422406859696,32.0,0.1117553636431694
6,3.851967692375183,0.0,0.0,0.0,-0.1393192671239376,-0.024852574802935123,32.0,0.0021846683230251074
7,15.983979225158691,0.0,0.0,0.0,-0.4908396974205971,-0.0157166114076972,32.0,0.008792587323114276
8,18.244430541992188,0.0,0.0,0.0,-0.5490384846925735,-0.0067127300426363945,32.0,0.010014293366111815
9,20.273294925689697,0.0,0.0,0.0,-0.6273415833711624,-0.024129233323037624,32.0,0.009972929721698165
10,21.62763500213623,0.0,0.0,0.0,-0.6744013875722885,-0.030244375579059124,32.0,0.009344053571112454
11,19.637507438659668,0.0,0.0,0.0,-0.573658362030983,-0.005160389468073845,32.0,0.04125447943806648
12,14.055231094360352,0.0,0.0,0.0,-0.36257579177618027,-0.0017670996021479368,32.0,0.12169645354151726
13,14.67354679107666,0.0,0.0,0.0,-0.40944957733154297,0.0011815030593425035,32.0,0.059150624088943005
14,12.442344903945923,0.0,0.0,0.0,-0.3585323989391327,-0.001235336996614933,32.0,0.03194654639810324
15,6.733067750930786,0.0,0.0,0.0,-0.11414040438830853,-0.00018388591706752777,32.0,0.1760710123926401
16,5.413275241851807,0.0,0.0,0.0,-0.12911710515618324,-0.0003297440707683563,32.0,0.06722178589552641
17,5.166592597961426,0.0,0.0,0.0,-0.14466527849435806,-0.0007967473939061165,32.0,0.02225849125534296
18,4.78985321521759,0.0,0.0,0.0,-0.1376471444964409,-0.0004571247845888138,32.0,0.013011143309995532
19,4.385157465934753,0.0,0.0,0.0,0.008247390389442444,-0.0006984318606555462,32.0,0.28100108355283737
20,2.527306020259857,0.0,0.0,0.0,-0.06755302101373672,-0.003622358199208975,32.0,0.02377703320235014
21,0.945465475320816,-1.148,1.0,0.0,0.26312530785799026,0.003043285571038723,32.0,0.5768919736146927
22,1.2394489347934723,0.0,0.0,0.0,-0.01030140183866024,-0.0019399472512304783,32.0,0.05764402449131012
23,4.077611804008484,0.0,0.0,0.0,-0.11116747558116913,-0.007923482451587915,32.0,0.038168716710060835
24,8.537227392196655,0.0,0.0,0.0,-0.22071661427617073,0.0016119834035634995,32.0,0.06757644098252058
25,22.349120140075684,0.0,0.0,0.0,-0.599559873342514,-0.012564460281282663,32.0,0.1669563464820385
26,43.69596767425537,0.0,0.0,0.0,-1.1894915103912354,-0.012426379136741161,32.0,0.26762770488858223
27,48.28574752807617,0.0,0.0,0.0,-1.3412714898586273,-0.009767257142812014,32.0,0.23413623869419098
