agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
v5_hold_margin_beta2.0,v5,producer,producer_v2,20120,0,1.0,4830.0,1,0.325,DONE,-1.0,0.0,3,0.225,DONE,-1.0,0.0,3,0.25,DONE,-1.0,351.0,2,0.2,DONE,499,86.4
v5,producer,producer_v2,v5_hold_margin_beta2.0,20121,1,1.0,2838.0,1,0.25,DONE,1.0,2838.0,1,0.25,DONE,-1.0,640.0,3,0.25,DONE,-1.0,0.0,4,0.25,DONE,499,134.5
producer_v2,v5_hold_margin_beta2.0,v5,producer,20123,3,1.0,1008.0,1,0.25,DONE,1.0,1008.0,1,0.25,DONE,1.0,1008.0,1,0.25,DONE,1.0,1008.0,1,0.25,DONE,499,124.6
v5_hold_margin_beta2.0,v5,producer,producer_v2,20128,0,1.0,4224.0,1,0.3462,DONE,-1.0,0.0,2,0.3718,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2821,DONE,210,66.0
producer,producer_v2,v5_hold_margin_beta2.0,v5,20126,2,-1.0,0.0,3,0.0,DONE,-1.0,394.0,2,0.3864,DONE,-1.0,0.0,3,0.1591,DONE,1.0,10302.0,1,0.4545,DONE,499,94.0
v5,producer,producer_v2,v5_hold_margin_beta2.0,20129,1,-1.0,0.0,2,0.0,DONE,1.0,1858.0,1,0.6897,DONE,-1.0,0.0,2,0.069,DONE,-1.0,0.0,2,0.2414,DONE,120,20.6
v5,producer,producer_v2,v5_hold_margin_beta2.0,20125,1,-1.0,0.0,3,0.25,DONE,-1.0,190.0,2,0.25,DONE,-1.0,0.0,3,0.0,DONE,1.0,8819.0,1,0.5,DONE,499,116.8
producer_v2,v5_hold_margin_beta2.0,v5,producer,20127,3,1.0,532.0,1,0.5,DONE,-1.0,0.0,3,0.2,DONE,-1.0,302.0,2,0.25,DONE,-1.0,0.0,3,0.05,DONE,499,106.6
producer_v2,v5_hold_margin_beta2.0,v5,producer,20131,3,1.0,2052.0,1,0.4571,DONE,-1.0,0.0,2,0.1286,DONE,-1.0,0.0,2,0.2429,DONE,-1.0,0.0,2,0.1714,DONE,167,32.7
producer,producer_v2,v5_hold_margin_beta2.0,v5,20134,2,-1.0,0.0,2,0.25,DONE,1.0,2102.0,1,0.5,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.25,DONE,131,22.3
v5_hold_margin_beta2.0,v5,producer,producer_v2,20132,0,-1.0,0.0,2,0.1207,DONE,1.0,1610.0,1,0.5172,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.3621,DONE,128,32.4
v5,producer,producer_v2,v5_hold_margin_beta2.0,20133,1,1.0,1774.0,1,0.3333,DONE,-1.0,0.0,2,0.1458,DONE,-1.0,0.0,2,0.1042,DONE,-1.0,0.0,2,0.4167,DONE,175,36.9
producer,producer_v2,v5_hold_margin_beta2.0,v5,20130,2,-1.0,0.0,2,0.2209,DONE,-1.0,0.0,2,0.1047,DONE,-1.0,0.0,2,0.2558,DONE,1.0,3265.0,1,0.4186,DONE,146,34.9
producer_v2,v5_hold_margin_beta2.0,v5,producer,20135,3,-1.0,0.0,2,0.2791,DONE,1.0,3064.0,1,0.4884,DONE,-1.0,0.0,2,0.2326,DONE,-1.0,0.0,2,0.0,DONE,240,49.0
v5_hold_margin_beta2.0,v5,producer,producer_v2,20140,0,-1.0,0.0,2,0.3696,DONE,-1.0,0.0,2,0.1304,DONE,-1.0,0.0,2,0.0,DONE,1.0,2526.0,1,0.5,DONE,144,29.2
v5_hold_margin_beta2.0,v5,producer,producer_v2,20136,0,-1.0,0.0,2,0.3019,DONE,1.0,2477.0,1,0.3585,DONE,-1.0,0.0,2,0.1321,DONE,-1.0,0.0,2,0.2075,DONE,183,43.2
