agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
v5,producer,producer_v2,v5_hold_margin_beta1.0,20005,1,-1.0,0.0,2,0.1667,DONE,-1.0,0.0,2,0.2576,DONE,1.0,1662.0,1,0.5758,DONE,-1.0,0.0,2,0.0,DONE,111,20.2
v5,producer,producer_v2,v5_hold_margin_beta1.0,20001,1,-1.0,0.0,2,0.225,DONE,-1.0,0.0,2,0.25,DONE,1.0,1535.0,1,0.25,DONE,-1.0,0.0,2,0.275,DONE,199,33.4
producer_v2,v5_hold_margin_beta1.0,v5,producer,20003,3,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.0,DONE,1.0,1256.0,1,0.6304,DONE,-1.0,0.0,2,0.3696,DONE,115,30.9
v5_hold_margin_beta1.0,v5,producer,producer_v2,20004,0,1.0,1703.0,1,0.5,DONE,-1.0,0.0,2,0.3088,DONE,-1.0,0.0,2,0.0441,DONE,-1.0,0.0,2,0.1471,DONE,143,44.8
producer,producer_v2,v5_hold_margin_beta1.0,v5,20006,2,-1.0,0.0,2,0.2439,DONE,1.0,1040.0,1,0.2683,DONE,-1.0,0.0,2,0.2439,DONE,-1.0,0.0,2,0.2439,DONE,160,25.8
producer_v2,v5_hold_margin_beta1.0,v5,producer,20007,3,1.0,1446.0,1,0.2759,DONE,-1.0,0.0,2,0.3793,DONE,-1.0,0.0,2,0.2414,DONE,-1.0,0.0,2,0.1034,DONE,246,32.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20010,2,1.0,2010.0,1,0.2456,DONE,-1.0,0.0,2,0.2281,DONE,-1.0,0.0,2,0.1754,DONE,-1.0,0.0,2,0.3509,DONE,185,40.5
v5,producer,producer_v2,v5_hold_margin_beta1.0,20009,1,-1.0,0.0,2,0.1618,DONE,-1.0,0.0,2,0.2941,DONE,-1.0,0.0,2,0.2206,DONE,1.0,2148.0,1,0.3235,DONE,159,48.3
producer,producer_v2,v5_hold_margin_beta1.0,v5,20002,2,-1.0,0.0,3,0.2889,DONE,1.0,14572.0,1,0.2667,DONE,-1.0,0.0,3,0.2,DONE,-1.0,115.0,2,0.2444,DONE,499,95.4
v5_hold_margin_beta1.0,v5,producer,producer_v2,20008,0,1.0,2025.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,256,67.1
v5_hold_margin_beta1.0,v5,producer,producer_v2,20012,0,-1.0,0.0,2,0.0192,DONE,-1.0,0.0,2,0.25,DONE,1.0,1706.0,1,0.4808,DONE,-1.0,0.0,2,0.25,DONE,145,21.6
producer_v2,v5_hold_margin_beta1.0,v5,producer,20011,3,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2667,DONE,1.0,11320.0,1,0.6933,DONE,-1.0,0.0,2,0.04,DONE,268,57.1
producer_v2,v5_hold_margin_beta1.0,v5,producer,20015,3,-1.0,0.0,2,0.0263,DONE,-1.0,0.0,2,0.25,DONE,1.0,1820.0,1,0.4474,DONE,-1.0,0.0,2,0.2763,DONE,147,32.5
v5_hold_margin_beta1.0,v5,producer,producer_v2,20000,0,-1.0,0.0,3,0.0667,DONE,-1.0,4447.0,2,0.5,DONE,1.0,6019.0,1,0.4333,DONE,-1.0,0.0,3,0.0,DONE,499,138.2
v5_hold_margin_beta1.0,v5,producer,producer_v2,20016,0,-1.0,0.0,2,0.0851,DONE,1.0,1894.0,1,0.2979,DONE,-1.0,0.0,2,0.3191,DONE,-1.0,0.0,2,0.2979,DONE,182,51.2
v5,producer,producer_v2,v5_hold_margin_beta1.0,20017,1,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,1216.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,291,60.0
producer,producer_v2,v5_hold_margin_beta1.0,v5,20014,2,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.1475,DONE,1.0,12403.0,1,0.5902,DONE,-1.0,0.0,2,0.2623,DONE,431,90.0
producer,producer_v2,v5_hold_margin_beta1.0,v5,20018,2,-1.0,0.0,2,0.25,DONE,1.0,16744.0,1,0.25,DONE,-1.0,0.0,2,0.2895,DONE,-1.0,0.0,2,0.2105,DONE,400,59.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20022,2,1.0,1826.0,1,0.5686,DONE,-1.0,0.0,2,0.1961,DONE,-1.0,0.0,2,0.2353,DONE,-1.0,0.0,2,0.0,DONE,149,27.8
v5,producer,producer_v2,v5_hold_margin_beta1.0,20021,1,1.0,1649.0,1,0.2727,DONE,-1.0,0.0,2,0.1818,DONE,-1.0,0.0,2,0.2727,DONE,-1.0,0.0,2,0.2727,DONE,151,35.6
v5,producer,producer_v2,v5_hold_margin_beta1.0,20013,1,1.0,28806.0,1,0.2478,DONE,-1.0,90.0,2,0.3363,DONE,-1.0,0.0,3,0.2035,DONE,-1.0,0.0,3,0.2124,DONE,499,131.9
producer_v2,v5_hold_margin_beta1.0,v5,producer,20019,3,-1.0,0.0,3,0.125,DONE,-1.0,225.0,2,0.2321,DONE,1.0,15521.0,1,0.375,DONE,-1.0,0.0,3,0.2679,DONE,499,97.3
producer,producer_v2,v5_hold_margin_beta1.0,v5,20026,2,1.0,3021.0,1,0.2588,DONE,-1.0,0.0,2,0.3294,DONE,-1.0,0.0,2,0.0588,DONE,-1.0,0.0,2,0.3529,DONE,184,30.6
v5_hold_margin_beta1.0,v5,producer,producer_v2,20024,0,1.0,1273.0,1,0.4634,DONE,-1.0,0.0,2,0.2439,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2927,DONE,208,50.6
v5_hold_margin_beta1.0,v5,producer,producer_v2,20020,0,-1.0,94.0,3,0.1607,DONE,1.0,19780.0,1,0.3393,DONE,-1.0,0.0,4,0.25,DONE,-1.0,137.0,2,0.25,DONE,499,93.4
v5,producer,producer_v2,v5_hold_margin_beta1.0,20025,1,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.1875,DONE,-1.0,0.0,2,0.25,DONE,1.0,1336.0,1,0.3125,DONE,170,43.4
producer_v2,v5_hold_margin_beta1.0,v5,producer,20027,3,-1.0,0.0,2,0.25,DONE,1.0,1606.0,1,0.25,DONE,-1.0,0.0,2,0.4062,DONE,-1.0,0.0,2,0.0938,DONE,285,48.6
producer_v2,v5_hold_margin_beta1.0,v5,producer,20023,3,-1.0,0.0,2,0.1579,DONE,-1.0,0.0,2,0.3333,DONE,1.0,2280.0,1,0.2456,DONE,-1.0,0.0,2,0.2632,DONE,302,86.6
v5_hold_margin_beta1.0,v5,producer,producer_v2,20032,0,-1.0,0.0,2,0.3188,DONE,1.0,4616.0,1,0.4638,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2174,DONE,176,37.6
v5,producer,producer_v2,v5_hold_margin_beta1.0,20033,1,-1.0,0.0,2,0.1818,DONE,-1.0,0.0,2,0.2045,DONE,1.0,2584.0,1,0.3636,DONE,-1.0,0.0,2,0.25,DONE,208,58.0
producer_v2,v5_hold_margin_beta1.0,v5,producer,20031,3,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,4673.0,1,0.1167,DONE,-1.0,0.0,2,0.3833,DONE,364,86.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20030,2,-1.0,255.0,2,0.3214,DONE,-1.0,0.0,3,0.1786,DONE,-1.0,0.0,3,0.1429,DONE,1.0,13396.0,1,0.3571,DONE,499,81.6
v5_hold_margin_beta1.0,v5,producer,producer_v2,20028,0,1.0,2862.0,1,0.25,DONE,1.0,2862.0,1,0.25,DONE,1.0,2862.0,1,0.25,DONE,1.0,2862.0,1,0.25,DONE,499,106.8
v5,producer,producer_v2,v5_hold_margin_beta1.0,20029,1,1.0,2505.0,1,0.25,DONE,1.0,2505.0,1,0.25,DONE,1.0,2505.0,1,0.25,DONE,1.0,2505.0,1,0.25,DONE,499,116.6
v5,producer,producer_v2,v5_hold_margin_beta1.0,20037,1,-1.0,0.0,2,0.2464,DONE,-1.0,0.0,2,0.0,DONE,1.0,1692.0,1,0.5072,DONE,-1.0,0.0,2,0.2464,DONE,133,22.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20034,2,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2464,DONE,-1.0,0.0,2,0.2609,DONE,1.0,1877.0,1,0.4928,DONE,139,39.7
producer_v2,v5_hold_margin_beta1.0,v5,producer,20035,3,-1.0,0.0,2,0.3438,DONE,-1.0,0.0,2,0.0,DONE,1.0,1660.0,1,0.5,DONE,-1.0,0.0,2,0.1562,DONE,206,49.0
v5_hold_margin_beta1.0,v5,producer,producer_v2,20036,0,1.0,7643.0,1,0.4533,DONE,-1.0,0.0,2,0.2,DONE,-1.0,0.0,2,0.2267,DONE,-1.0,0.0,2,0.12,DONE,258,42.2
v5_hold_margin_beta1.0,v5,producer,producer_v2,20040,0,1.0,841.0,1,0.4211,DONE,-1.0,0.0,2,0.3684,DONE,-1.0,0.0,2,0.0263,DONE,-1.0,0.0,2,0.1842,DONE,145,24.7
v5,producer,producer_v2,v5_hold_margin_beta1.0,20041,1,-1.0,0.0,2,0.0135,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.4865,DONE,1.0,1849.0,1,0.5,DONE,183,47.6
producer_v2,v5_hold_margin_beta1.0,v5,producer,20043,3,-1.0,0.0,2,0.1867,DONE,-1.0,0.0,2,0.0533,DONE,-1.0,0.0,2,0.1333,DONE,1.0,2705.0,1,0.6267,DONE,119,36.4
producer,producer_v2,v5_hold_margin_beta1.0,v5,20038,2,-1.0,0.0,2,0.2407,DONE,1.0,2717.0,1,0.1667,DONE,-1.0,0.0,2,0.2963,DONE,-1.0,0.0,2,0.2963,DONE,354,72.8
v5_hold_margin_beta1.0,v5,producer,producer_v2,20044,0,-1.0,0.0,2,0.25,DONE,1.0,1387.0,1,0.3333,DONE,-1.0,0.0,2,0.1667,DONE,-1.0,0.0,2,0.25,DONE,249,59.8
producer,producer_v2,v5_hold_margin_beta1.0,v5,20042,2,1.0,1507.0,1,0.25,DONE,1.0,1507.0,1,0.25,DONE,1.0,1507.0,1,0.25,DONE,1.0,1507.0,1,0.25,DONE,499,77.6
v5,producer,producer_v2,v5_hold_margin_beta1.0,20049,1,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.4444,DONE,1.0,2639.0,1,0.5556,DONE,133,20.1
producer_v2,v5_hold_margin_beta1.0,v5,producer,20039,3,1.0,1008.0,1,0.25,DONE,1.0,1008.0,1,0.25,DONE,1.0,1008.0,1,0.25,DONE,1.0,1008.0,1,0.25,DONE,499,131.6
producer_v2,v5_hold_margin_beta1.0,v5,producer,20047,3,-1.0,0.0,2,0.4,DONE,-1.0,0.0,2,0.275,DONE,-1.0,0.0,2,0.025,DONE,1.0,3072.0,1,0.3,DONE,292,73.8
v5_hold_margin_beta1.0,v5,producer,producer_v2,20048,0,-1.0,0.0,2,0.4845,DONE,-1.0,0.0,2,0.0,DONE,1.0,2135.0,1,0.5155,DONE,-1.0,0.0,2,0.0,DONE,154,44.4
v5,producer,producer_v2,v5_hold_margin_beta1.0,20045,1,-1.0,0.0,4,0.0769,DONE,-1.0,204.0,2,0.2885,DONE,-1.0,154.0,3,0.2885,DONE,1.0,13441.0,1,0.3462,DONE,499,95.9
producer,producer_v2,v5_hold_margin_beta1.0,v5,20050,2,-1.0,0.0,2,0.25,DONE,1.0,2243.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,231,45.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20054,2,-1.0,0.0,2,0.1728,DONE,-1.0,0.0,2,0.1975,DONE,-1.0,0.0,2,0.2716,DONE,1.0,2186.0,1,0.358,DONE,188,35.6
producer_v2,v5_hold_margin_beta1.0,v5,producer,20051,3,1.0,2231.0,1,0.5556,DONE,-1.0,0.0,2,0.1778,DONE,-1.0,0.0,2,0.1889,DONE,-1.0,0.0,2,0.0778,DONE,133,41.9
producer,producer_v2,v5_hold_margin_beta1.0,v5,20046,2,1.0,509.0,1,0.25,DONE,1.0,509.0,1,0.25,DONE,1.0,509.0,1,0.25,DONE,1.0,509.0,1,0.25,DONE,499,129.2
v5,producer,producer_v2,v5_hold_margin_beta1.0,20053,1,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,1285.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,194,49.7
v5_hold_margin_beta1.0,v5,producer,producer_v2,20052,0,-1.0,0.0,2,0.2414,DONE,1.0,1902.0,1,0.2414,DONE,-1.0,0.0,2,0.2414,DONE,-1.0,0.0,2,0.2759,DONE,299,89.6
producer_v2,v5_hold_margin_beta1.0,v5,producer,20055,3,-1.0,0.0,3,0.25,DONE,1.0,2205.0,1,0.25,DONE,-1.0,0.0,3,0.25,DONE,-1.0,1211.0,2,0.25,DONE,499,72.0
v5_hold_margin_beta1.0,v5,producer,producer_v2,20056,0,-1.0,0.0,2,0.3506,DONE,-1.0,0.0,2,0.2468,DONE,-1.0,0.0,2,0.1558,DONE,1.0,1872.0,1,0.2468,DONE,170,48.0
producer_v2,v5_hold_margin_beta1.0,v5,producer,20059,3,-1.0,0.0,2,0.0874,DONE,1.0,3669.0,1,0.6214,DONE,-1.0,0.0,2,0.2524,DONE,-1.0,0.0,2,0.0388,DONE,150,47.7
v5,producer,producer_v2,v5_hold_margin_beta1.0,20057,1,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,996.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,232,60.4
producer,producer_v2,v5_hold_margin_beta1.0,v5,20062,2,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,2575.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,187,30.2
v5_hold_margin_beta1.0,v5,producer,producer_v2,20060,0,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.1,DONE,1.0,1646.0,1,0.4,DONE,141,40.3
v5,producer,producer_v2,v5_hold_margin_beta1.0,20065,1,-1.0,0.0,2,0.3294,DONE,-1.0,0.0,2,0.0941,DONE,1.0,2048.0,1,0.5765,DONE,-1.0,0.0,2,0.0,DONE,107,18.9
producer,producer_v2,v5_hold_margin_beta1.0,v5,20058,2,-1.0,0.0,3,0.25,DONE,-1.0,0.0,3,0.125,DONE,1.0,5374.0,1,0.375,DONE,-1.0,494.0,2,0.25,DONE,499,98.1
producer_v2,v5_hold_margin_beta1.0,v5,producer,20063,3,-1.0,0.0,2,0.2069,DONE,-1.0,0.0,2,0.3793,DONE,1.0,2226.0,1,0.4138,DONE,-1.0,0.0,2,0.0,DONE,184,54.8
v5,producer,producer_v2,v5_hold_margin_beta1.0,20061,1,1.0,1930.0,1,0.25,DONE,-1.0,0.0,3,0.25,DONE,-1.0,0.0,3,0.25,DONE,-1.0,1822.0,2,0.25,DONE,499,67.4
v5_hold_margin_beta1.0,v5,producer,producer_v2,20068,0,1.0,317.0,1,0.6923,DONE,-1.0,0.0,2,0.0769,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2308,DONE,130,25.0
v5_hold_margin_beta1.0,v5,producer,producer_v2,20064,0,1.0,1496.0,1,0.2821,DONE,-1.0,0.0,2,0.1795,DONE,-1.0,0.0,2,0.2308,DONE,-1.0,0.0,2,0.3077,DONE,306,70.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20066,2,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.125,DONE,-1.0,0.0,2,0.25,DONE,1.0,2672.0,1,0.375,DONE,214,45.4
v5,producer,producer_v2,v5_hold_margin_beta1.0,20069,1,1.0,2022.0,1,0.5116,DONE,-1.0,0.0,2,0.2326,DONE,-1.0,0.0,2,0.2326,DONE,-1.0,0.0,2,0.0233,DONE,158,24.7
producer_v2,v5_hold_margin_beta1.0,v5,producer,20067,3,-1.0,0.0,2,0.25,DONE,1.0,2486.0,1,0.25,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,423,73.2
v5,producer,producer_v2,v5_hold_margin_beta1.0,20073,1,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.4286,DONE,-1.0,0.0,2,0.1905,DONE,1.0,1219.0,1,0.381,DONE,258,39.0
producer_v2,v5_hold_margin_beta1.0,v5,producer,20071,3,-1.0,0.0,2,0.0909,DONE,-1.0,0.0,2,0.2182,DONE,1.0,1681.0,1,0.5091,DONE,-1.0,0.0,2,0.1818,DONE,141,32.5
v5_hold_margin_beta1.0,v5,producer,producer_v2,20076,0,-1.0,0.0,2,0.0,DONE,1.0,811.0,1,0.6207,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.3793,DONE,134,19.2
v5,producer,producer_v2,v5_hold_margin_beta1.0,20077,1,-1.0,0.0,2,0.2195,DONE,-1.0,0.0,2,0.1707,DONE,-1.0,0.0,2,0.2683,DONE,1.0,1946.0,1,0.3415,DONE,182,30.1
producer,producer_v2,v5_hold_margin_beta1.0,v5,20070,2,-1.0,136.0,2,0.1556,DONE,-1.0,0.0,3,0.2444,DONE,-1.0,0.0,3,0.2667,DONE,1.0,11549.0,1,0.3333,DONE,499,99.2
producer_v2,v5_hold_margin_beta1.0,v5,producer,20079,3,-1.0,0.0,2,0.2381,DONE,-1.0,0.0,2,0.0794,DONE,1.0,2226.0,1,0.5079,DONE,-1.0,0.0,2,0.1746,DONE,137,22.4
v5_hold_margin_beta1.0,v5,producer,producer_v2,20072,0,-1.0,0.0,3,0.0959,DONE,1.0,25931.0,1,0.726,DONE,-1.0,0.0,3,0.0,DONE,-1.0,225.0,2,0.1781,DONE,499,117.6
v5_hold_margin_beta1.0,v5,producer,producer_v2,20080,0,1.0,2888.0,1,0.3378,DONE,-1.0,0.0,2,0.3649,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2973,DONE,171,29.5
v5,producer,producer_v2,v5_hold_margin_beta1.0,20081,1,-1.0,0.0,2,0.35,DONE,-1.0,0.0,2,0.1,DONE,-1.0,0.0,2,0.1875,DONE,1.0,2178.0,1,0.3625,DONE,186,40.1
producer_v2,v5_hold_margin_beta1.0,v5,producer,20075,3,-1.0,200.0,2,0.1667,DONE,-1.0,0.0,3,0.3333,DONE,1.0,14899.0,1,0.4167,DONE,-1.0,0.0,3,0.0833,DONE,499,100.7
producer,producer_v2,v5_hold_margin_beta1.0,v5,20074,2,-1.0,0.0,3,0.25,DONE,-1.0,550.0,2,0.25,DONE,-1.0,0.0,3,0.25,DONE,1.0,2503.0,1,0.25,DONE,499,132.5
producer,producer_v2,v5_hold_margin_beta1.0,v5,20078,2,-1.0,0.0,2,0.0,DONE,1.0,1381.0,1,0.4737,DONE,-1.0,0.0,2,0.2632,DONE,-1.0,0.0,2,0.2632,DONE,396,90.7
producer,producer_v2,v5_hold_margin_beta1.0,v5,20086,2,-1.0,0.0,2,0.0,DONE,1.0,956.0,1,0.85,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.15,DONE,96,23.0
producer,producer_v2,v5_hold_margin_beta1.0,v5,20082,2,-1.0,0.0,2,0.2603,DONE,1.0,2665.0,1,0.2466,DONE,-1.0,0.0,2,0.2877,DONE,-1.0,0.0,2,0.2055,DONE,189,41.2
