agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
v5_hold_margin_beta1.0,v5,producer,producer_v2,20000,0,-1.0,0.0,2,0.2927,DONE,1.0,1813.0,1,0.2927,DONE,-1.0,0.0,2,0.1707,DONE,-1.0,0.0,2,0.2439,DONE,195,17.9
v5,producer,producer_v2,v5_hold_margin_beta1.0,20001,1,-1.0,0.0,2,0.375,DONE,1.0,5759.0,1,0.5,DONE,-1.0,0.0,2,0.025,DONE,-1.0,0.0,2,0.1,DONE,258,19.6
