agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
v5,producer,producer_v2,v5_hold_margin_beta0.5,20001,1,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.1562,DONE,1.0,1126.0,1,0.8438,DONE,-1.0,0.0,2,0.0,DONE,88,8.6
producer,producer_v2,v5_hold_margin_beta0.5,v5,20002,2,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.1364,DONE,-1.0,0.0,2,0.25,DONE,1.0,2258.0,1,0.3636,DONE,326,32.1
producer,producer_v2,v5_hold_margin_beta0.5,v5,20006,2,-1.0,0.0,2,0.1739,DONE,1.0,1229.0,1,0.2174,DONE,-1.0,0.0,2,0.2609,DONE,-1.0,0.0,2,0.3478,DONE,228,25.3
v5,producer,producer_v2,v5_hold_margin_beta0.5,20005,1,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.25,DONE,1.0,1547.0,1,0.5,DONE,-1.0,0.0,2,0.0,DONE,209,35.2
producer_v2,v5_hold_margin_beta0.5,v5,producer,20007,3,-1.0,0.0,2,0.1486,DONE,1.0,2982.0,1,0.4595,DONE,-1.0,0.0,2,0.3919,DONE,-1.0,0.0,2,0.0,DONE,247,30.0
producer_v2,v5_hold_margin_beta0.5,v5,producer,20003,3,-1.0,0.0,3,0.1467,DONE,1.0,24701.0,1,0.3733,DONE,-1.0,771.0,2,0.44,DONE,-1.0,0.0,3,0.04,DONE,499,76.1
v5_hold_margin_beta0.5,v5,producer,producer_v2,20008,0,1.0,2792.0,1,0.2885,DONE,-1.0,0.0,2,0.3077,DONE,-1.0,0.0,2,0.1731,DONE,-1.0,0.0,2,0.2308,DONE,312,46.7
v5_hold_margin_beta0.5,v5,producer,producer_v2,20004,0,-1.0,472.0,3,0.2353,DONE,-1.0,3618.0,2,0.2353,DONE,1.0,4596.0,1,0.4706,DONE,-1.0,344.0,4,0.0588,DONE,499,81.3
v5_hold_margin_beta0.5,v5,producer,producer_v2,20000,0,-1.0,0.0,3,0.15,DONE,1.0,12620.0,1,0.25,DONE,-1.0,0.0,3,0.25,DONE,-1.0,212.0,2,0.35,DONE,499,86.0
v5,producer,producer_v2,v5_hold_margin_beta0.5,20009,1,1.0,3686.0,1,0.2564,DONE,-1.0,0.0,2,0.1538,DONE,-1.0,0.0,2,0.3077,DONE,-1.0,0.0,2,0.2821,DONE,253,54.6
