update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,2.1648948192596436,0.0,0.0,0.0,-0.2071651816368103,-0.0004085153341293335,32.0,0.01946563459932804
2,4.83359432220459,0.0,0.0,0.0,-0.4488331153988838,-0.0041255708783864975,32.0,0.07730378583073616
3,1.7542291581630707,0.0,0.0,0.0,0.06793703511357307,5.046231672167778e-05,32.0,0.4866189956665039
4,0.7299694865942001,0.0,0.0,0.0,0.09189454279839993,-7.324246689677238e-05,32.0,0.3299294710159302
5,3.2188258171081543,-1.112,1.0,0.0,-0.3145420774817467,-0.0001723235473036766,32.0,0.015025663422420621
6,10.948157548904419,0.0,0.0,0.0,-1.096970796585083,-0.0029233768582344055,32.0,0.0015367984015028924
7,16.464978218078613,0.0,0.0,0.0,-1.657894104719162,-0.014327246230095625,32.0,0.00586196465883404
8,22.619659423828125,0.0,0.0,0.0,-2.269780993461609,-0.009227548260241747,32.0,0.002825064613716677
9,28.522890090942383,0.0,0.0,0.0,-2.8531243801116943,-0.005170205608010292,32.0,0.008669673232361674
10,32.461791038513184,0.0,0.0,0.0,-3.248240113258362,-0.004349895752966404,32.0,0.004577871062792838
11,31.688169479370117,0.0,0.0,0.0,-3.165381133556366,0.00040768738836050034,32.0,0.006056362995877862
12,38.22093677520752,0.0,0.0,0.0,-3.821465790271759,-0.000817752443253994,32.0,0.002891527023166418
13,43.12246608734131,0.0,0.0,0.0,-4.307004928588867,-0.0005130753852427006,32.0,0.011509575182572007
14,38.296502113342285,0.0,0.0,0.0,-3.8257858753204346,-3.3597927540540695e-05,32.0,0.007795860292389989
15,38.64776802062988,0.0,0.0,0.0,-3.8591288924217224,-0.00039216596633195877,32.0,0.012080249842256308
16,37.4086332321167,0.0,0.0,0.0,-3.6956990361213684,-0.00018220487982034683,32.0,0.09069308452308178
17,27.678162097930908,0.0,0.0,0.0,-2.7456374168395996,-0.0002459622919559479,32.0,0.04484961833804846
18,24.69957160949707,0.0,0.0,0.0,-2.4389618635177612,-0.00027786195278167725,32.0,0.06254646833986044
19,24.097394466400146,0.0,0.0,0.0,-2.3590779900550842,-6.740260869264603e-05,32.0,0.10145778581500053
20,14.668578863143921,-1.254,1.0,0.0,-1.4094672203063965,-0.00011604349128901958,32.0,0.11501345783472061
21,1.199525147676468,0.0,0.0,0.0,-0.11289850063621998,-2.8256792575120926e-05,32.0,0.014164544874802232
22,3.2243159413337708,0.0,0.0,0.0,-0.3169178366661072,-1.9027385860681534e-05,32.0,0.011065589846111834
23,5.035916447639465,0.0,0.0,0.0,-0.5022933036088943,-0.00020426465198397636,32.0,0.003005266742547974
24,10.37015438079834,0.0,0.0,0.0,-1.0367441177368164,-0.0003564581274986267,32.0,0.0012556298461277038
25,23.14457941055298,0.0,0.0,0.0,-2.301038146018982,-0.00023839203640818596,32.0,0.027316430117934942
26,28.19361639022827,0.0,0.0,0.0,-2.8194112181663513,-0.0010900716297328472,32.0,0.002081006416119635
27,34.95540523529053,0.0,0.0,0.0,-3.4960328936576843,-0.0014982549473643303,32.0,0.0020119366672588512
28,36.70025634765625,0.0,0.0,0.0,-3.6681374311447144,0.0002494729124009609,32.0,0.003277481417171657
29,32.621469497680664,0.0,0.0,0.0,-3.2483370900154114,-0.0003864720929414034,32.0,0.028392731212079525
30,26.750642776489258,0.0,0.0,0.0,-2.65043967962265,-3.7109944969415665e-05,32.0,0.049323472660034895
31,29.822152614593506,0.0,0.0,0.0,-2.9771989583969116,-6.613414734601974e-05,32.0,0.010165052954107523
32,27.347533702850342,0.0,0.0,0.0,-2.720240890979767,-0.0006883447058498859,32.0,0.03040170669555664
33,18.057721614837646,0.0,0.0,0.0,-1.7728052139282227,8.375709876418114e-05,32.0,0.06576643139123917
34,14.457190990447998,0.0,0.0,0.0,-1.434730738401413,-3.5472679883241653e-05,32.0,0.022047718288376927
