update,entropy,episode_reward_mean,episodes_finished,imitation_loss,loss,policy_loss,samples,value_loss
1,0.02829343918710947,0.0,0.0,0.12536544166505337,0.0596666990313679,-0.006687941495329142,32.0,0.008035071892663836
2,0.08161282166838646,0.0,0.0,0.0631921119056642,0.021982707316055894,-0.01972049754112959,32.0,0.021972935646772385
3,0.0,0.0,0.0,0.1182560482993722,0.12498095072805882,1.8114224076271057e-07,32.0,0.13206025958061218
4,0.008540009846910834,-2.4320000000000004,1.0,0.08496017940342426,0.2332535907626152,-0.000597488135099411,32.0,0.3832526281476021
5,1.2860099077224731,0.0,0.0,0.060665346682071686,-0.044415089301764965,-0.06275019538588822,32.0,0.0020283857884351164
6,3.051447570323944,0.0,0.0,0.06101628951728344,-0.08714986639097333,-0.08890541642904282,32.0,0.003889860410708934
7,11.69811201095581,0.0,0.0,0.07024735864251852,-0.17832468450069427,-0.1064395906869322,32.0,0.020436428487300873
8,17.682628631591797,0.0,0.0,0.07874233648180962,-0.19077584333717823,-0.10670384205877781,32.0,0.10739617049694061
9,26.10781192779541,0.0,0.0,0.09861449245363474,-0.27140315622091293,-0.11464222334325314,32.0,0.1109074056148529
10,32.218265533447266,0.0,0.0,0.11026822961866856,-0.14455976523458958,-0.1010130955837667,32.0,0.44810640066862106
11,39.92725086212158,0.0,0.0,0.10102495271712542,0.021807990036904812,-0.11585406353697181,32.0,0.973955437541008
12,49.56254863739014,0.0,0.0,0.10251028276979923,0.050383166410028934,-0.11613136762753129,32.0,1.2229998707771301
13,46.15448760986328,0.0,0.0,0.09016537666320801,-0.014460956677794456,-0.11103415489196777,32.0,1.02724289894104
14,57.322978019714355,0.0,0.0,0.1215347908437252,0.0025190459564328194,-0.10846089571714401,32.0,1.2485860884189606
15,42.5159854888916,3.584,1.0,0.1091677900403738,-0.045957946218550205,-0.03636582847684622,32.0,0.7236051857471466
16,0.3681045025587082,0.0,0.0,0.08595859073102474,0.011755210347473621,-0.03395994333550334,32.0,0.014209141489118338
17,1.6504120826721191,0.0,0.0,0.09213897492736578,0.0824665380641818,-0.05711324792355299,32.0,0.22159520536661148
18,0.31914884597063065,0.0,0.0,0.09405126329511404,0.39920996129512787,-0.02355058491230011,32.0,0.7595457434654236
19,0.0,0.0,0.0,0.11449822969734669,0.3256009891629219,-2.260785549879074e-07,32.0,0.5388796627521515
20,0.9936627149581909,-1.526,1.0,0.08742745034396648,0.05995762627571821,-0.026885356288403273,32.0,0.10788031481206417
21,1.0981774032115936,0.0,0.0,0.06752620916813612,-0.028606388717889786,-0.0562207605689764,32.0,0.011084128404036164
22,9.043944597244263,0.0,0.0,0.08491354621946812,-0.06856674514710903,-0.09295613691210747,32.0,0.1466122269630432
23,16.730777263641357,0.0,0.0,0.09177187271416187,-0.0688433088362217,-0.11236281087622046,32.0,0.3319934159517288
24,20.73977565765381,0.0,0.0,0.1593426065519452,0.014027142897248268,-0.11977091617882252,32.0,0.5268732309341431
25,33.30684280395508,4.333000000000002,1.0,0.14303637202829123,0.20693911612033844,-0.05718851741403341,32.0,1.0549316704273224
